Fecha;Cemento;Empleo;Empresas
1/6/2007;34224;81363;3574
1/7/2007;35746;80047;3778
1/8/2007;35879;80742;3955
1/9/2007;32420;80813;4110
1/10/2007;34562;81535;4250
1/11/2007;41219;81299;4357
1/12/2007;33069;78550;4429
1/1/2008;38984;82738;4516
1/2/2008;40283;80317;4603
1/3/2008;30223;80678;4678
1/4/2008;38963;82432;4771
1/5/2008;38505;82962;3624
1/6/2008;31522;82907;3837
1/7/2008;39167;82351;4049
1/8/2008;37323;82201;4194
1/9/2008;39269;83773;4335
1/10/2008;33978;82370;4441
1/11/2008;32924;81256;4545
1/12/2008;26931;77297;4616
1/1/2009;29086;75193;4661
1/2/2009;26966;75399;4671
1/3/2009;29991;75082;4678
1/4/2009;30636;74367;4726
1/5/2009;30830;73379;3296
1/6/2009;32052;73097;3509
1/7/2009;29178;74141;3653
1/8/2009;30262;73951;3777
1/9/2009;27139;73173;3892
1/10/2009;30047;72940;4001
1/11/2009;27943;73100;4075
1/12/2009;24148;71681;4128
1/1/2010;26057;71086;4214
1/2/2010;22814;71774;4214
1/3/2010;27740;72635;4286
1/4/2010;24014;73582;4349
1/5/2010;23169;73936;3322
1/6/2010;24980;73696;3494
1/7/2010;24014;73409;3649
1/8/2010;31073;75125;3777
1/9/2010;32323;75473;3880
1/10/2010;27026;75087;3972
1/11/2010;38031;76729;4046
1/12/2010;27205;75302;4105
1/1/2011;27646;74568;4187
1/2/2011;29063;75345;4227
1/3/2011;29862;76605;4286
1/4/2011;34617;77038;4348
1/5/2011;34885;77539;3604
1/6/2011;31908;77166;3760
1/7/2011;29776;78206;3896
1/8/2011;32569;77789;4019
1/9/2011;31338;77785;4135
1/10/2011;31584;77382;4218
1/11/2011;33351;78665;4308
1/12/2011;27153;75823;4355
1/1/2012;24882;76044;4413
1/2/2012;24114;75039;4444
1/3/2012;26422;76639;4518
1/4/2012;25471;75802;4591
1/5/2012;25126;76092;3687
1/6/2012;26382;74730;3808
1/7/2012;27518;73330;3899
1/8/2012;21296;73315;4025
1/9/2012;22768;72977;4087
1/10/2012;26544;74115;4168
1/11/2012;26639;73190;4224
1/12/2012;23120;71213;4259
1/1/2013;25550;72342;4314
1/2/2013;23566;72473;4328
1/3/2013;30138;73321;4394
1/4/2013;23422;74131;4447
1/5/2013;29754;74336;3676
1/6/2013;27949;73703;3780
1/7/2013;27274;74401;3873
1/8/2013;32148;74340;3972
1/9/2013;28878;73858;4082
1/10/2013;31677;73468;4173
1/11/2013;29877;72192;4234
1/12/2013;24510;69981;4280
1/1/2014;23894;70623;4322
1/2/2014;22581;70399;4320
1/3/2014;27962;71195;4336
1/4/2014;27673;71070;4394
1/5/2014;28505;71594;3332
1/6/2014;28550;71484;3480
1/7/2014;33385;72408;3600
1/8/2014;31678;72739;3698
1/9/2014;32437;73821;3794
1/10/2014;33362;74371;3869
1/11/2014;28956;74332;3924
1/12/2014;25732;72756;3972
1/1/2015;27803;72940;4018
1/2/2015;29567;73455;4030
1/3/2015;32092;75532;4097
1/4/2015;30177;75963;4153
1/5/2015;27162;75132;3440
1/6/2015;31569;75102;3555
1/7/2015;31276;74547;3634
1/8/2015;27896;72677;3712
1/9/2015;34096;71857;3796
1/10/2015;34118;72245;3873
1/11/2015;28697;71263;3919
1/12/2015;25700;68244;3939
1/1/2016;26498;68084;3984
1/2/2016;26488;67930;3998
1/3/2016;25847;67772;4066
1/4/2016;23740;67251;4141
1/5/2016;29339;68189;3493
1/6/2016;28449;67883;3674
1/7/2016;25526;68665;3804
1/8/2016;31918;70019;3936
1/9/2016;32037;69902;4061
1/10/2016;30048;71533;4165
1/11/2016;34206;72443;4259
1/12/2016;31552;70978;4302
1/1/2017;30205;72141;4379
1/2/2017;28094;72799;4413
1/3/2017;35915;74827;4465
1/4/2017;30694;74709;4527
1/5/2017;33490;76044;3791
1/6/2017;36105;76997;3926
1/7/2017;34654;76627;4022
1/8/2017;36022;77745;4129
1/9/2017;37415;78652;4236
1/10/2017;43872;79124;4306
1/11/2017;39553;81110;4388
1/12/2017;31991;79384;4424
1/1/2018;34733;81204;4494
1/2/2018;34496;81518;4519
1/3/2018;40956;83563;4569
1/4/2018;34542;83514;4635
1/5/2018;35073;85106;3893
1/6/2018;39620;84791;4028
1/7/2018;42597;84499;4129
1/8/2018;48158;86157;4227
1/9/2018;45310;85652;4302
1/10/2018;50665;86458;4425
1/11/2018;45119;85708;4490
1/12/2018;35225;84101;4539
1/1/2019;41402;86066;4614
1/2/2019;50046;87487;4639
1/3/2019;45883;88250;4699
1/4/2019;43352;87436;4788
1/5/2019;46963;86351;4136
1/6/2019;36634;84093;4240
1/7/2019;39191;83482;4326
1/8/2019;39308;81961;4410
1/9/2019;34304;81001;4512
1/10/2019;32389;78920;4745
1/11/2019;32001;76455;4803
1/12/2019;26169;72938;4855
1/1/2020;27422;71250;4916
1/2/2020;26012;69556;4913
1/3/2020;17512;65573;4931
1/4/2020;6066;55646;4929
1/5/2020;9456;53154;3675
1/6/2020;14402;52395;3773
1/7/2020;14428;50480;3823
1/8/2020;17623;51095;3876
1/9/2020;22281;52812;3936
1/10/2020;24098;54336;4020
1/11/2020;41316;57423;4074
1/12/2020;44666;57353;4114
1/1/2021;42529;58424;4170
1/2/2021;25396;59777;4230
1/3/2021;29897;61591;4299
1/4/2021;25243;61030;4359
1/5/2021;21140;60215;3746
1/6/2021;28083;62530;3829
1/7/2021;28906;63768;3919
1/8/2021;29577;65838;3998
1/9/2021;30758;66376;4094
1/10/2021;33618;67006;4165
1/11/2021;33225;68175;4220
1/12/2021;30020;65867;4246
1/1/2022;26078;65508;4287
1/2/2022;27500;66448;4298
1/3/2022;30414;67577;4360
1/4/2022;29589;67592;4400
1/5/2022;30545;68190;3773
1/6/2022;31198;68402;3865
1/7/2022;30301;68796;3950
1/8/2022;33207;71255;4029
