FECHA,BENCENO SPOT USGC US$-TON
1-1-2006,818.0341
2-1-2006,841.84945
3-1-2006,807.7485
4-1-2006,865.11165
5-1-2006,928.05115
6-1-2006,1126.7815
7-1-2006,1105.68705
8-1-2006,1093.5028
9-1-2006,1129.09875
10-1-2006,1142.25475
11-1-2006,1009.3642
12-1-2006,1089.27195
1-1-2007,1014.1781
2-1-2007,1031.29585
3-1-2007,1084.174
4-1-2007,1194.72925
5-1-2007,1223.4482
6-1-2007,1108.4827
7-1-2007,1107.197
8-1-2007,1003.33935
9-1-2007,1031.5799
10-1-2007,1045.58805
11-1-2007,1019.8292
12-1-2007,970.8231
1-1-2008,1041.5067
2-1-2008,1139.20495
3-1-2008,1138.4425
4-1-2008,1143.9142
5-1-2008,1236.3052
6-1-2008,1235.9165
7-1-2008,1294.9989
8-1-2008,1302.8626
9-1-2008,1282.8595
10-1-2008,812.8315
11-1-2008,404.65165
12-1-2008,270.10165
1-1-2009,331.6807
2-1-2009,400.0321
3-1-2009,411.3343
4-1-2009,565.6781
5-1-2009,675.5307
6-1-2009,811.0375
7-1-2009,965.77
8-1-2009,1016.899
9-1-2009,829.1569
10-1-2009,831.5788
11-1-2009,862.2263
12-1-2009,967.0557
1-1-2010,1116.167
2-1-2010,1051.882
3-1-2010,1000.753
4-1-2010,1050.387
5-1-2010,962.4212
6-1-2010,852.1799
7-1-2010,805.6256
8-1-2010,881.3025
9-1-2010,903.0099
10-1-2010,999.9158
11-1-2010,995.6999
12-1-2010,1086.1773
1-1-2011,1239.2055
2-1-2011,1286.8063
3-1-2011,1199.3787
4-1-2011,1234.7205
5-1-2011,1226.3186
6-1-2011,1119.0673
7-1-2011,1195.8505
8-1-2011,1212.2955
9-1-2011,1079.091
10-1-2011,946.2752
11-1-2011,926.003
12-1-2011,1036.28915
1-1-2012,1217.0795
2-1-2012,1248.7735
3-1-2012,1239.6241
4-1-2012,1242.046
5-1-2012,1212.0264
6-1-2012,1258.6405
7-1-2012,1456.13
8-1-2012,1303.9091
9-1-2012,1310.3974
10-1-2012,1453.7978
11-1-2012,1468.5385
12-1-2012,1537.0095
1-1-2013,1453.5586
2-1-2013,1410.3232
3-1-2013,1307.0785
4-1-2013,1320.6232
5-1-2013,1318.4405
6-1-2013,1274.936
7-1-2013,1230.8036
8-1-2013,1275.3845
9-1-2013,1326.663
10-1-2013,1230.983
11-1-2013,1264.6205
12-1-2013,1414.1205
1-1-2014,1536.4414
2-1-2014,1509.95
3-1-2014,1466.8043
4-1-2014,1398.3333
5-1-2014,1333.839
6-1-2014,1448.5952
7-1-2014,1524.6309
8-1-2014,1455.7114
9-1-2014,1285.5505
10-1-2014,1184.3091
11-1-2014,1030.3839
12-1-2014,754.4667
1-1-2015,608.0165
2-1-2015,623.5047
3-1-2015,730.6364
4-1-2015,827.8114
5-1-2015,770.224
6-1-2015,818.0341
7-1-2015,838.2764
8-1-2015,684.71
9-1-2015,609.96
10-1-2015,635.6441
11-1-2015,687.3711
12-1-2015,642.7005
1-29-2016,572.8997368
2-29-2016,542.8345
3-31-2016,627.0845455
4-29-2016,615.0857143
5-31-2016,599.4238095
6-30-2016,621.5802273
7-31-2016,675.5905
8-31-2016,714.74
9-30-2016,702.3652381
10-31-2016,666.627619
11-30-2016,680.524
12-31-2016,794.3433333
1-31-2017,956.8
2-28-2017,999.7615789
3-31-2017,840.97
4-30-2017,827.2857895
5-31-2017,786.5738636
6-30-2017,765.44
7-31-2017,739.8676316
8-31-2017,768.3
9-30-2017,814.40125
10-31-2017,847.4611364
11-30-2017,1001.65
12-31-2017,979.225
1-31-2018,937.7209524
2-28-2018,917.3005263
3-31-2018,900.132381
4-30-2018,880.3414286
5-31-2018,880.3511364
6-30-2018,863.1133333
7-31-2018,861.12
8-31-2018,881.53
9-30-2018,846.9568421
10-31-2018,829.725
11-30-2018,642.9995
12-31-2018,546.5055556
1-31-2019,557.7061905
2-28-2019,590.2889474
3-31-2019,640.9990476
4-30-2019,676.6654762
5-31-2019,700.1356818
6-30-2019,814.3265
7-31-2019,802.8861905
8-31-2019,757.5572727
9-30-2019,765.44
10-31-2019,696.085
11-29-2019,682.5855263
12-31-2019,743.7269048
1-31-2020,773.8404762
2-29-2020,752.3784211
3-31-2020,511.1540909
4-30-2020,290.3147619
5-31-2020,300.0465
6-30-2020,384.8945455
7-31-2020,446.0536364
8-31-2020,456.9004762
9-30-2020,425.2919048
10-30-2020,446.5972727
11-30-2020,565.5821053
12-31-2020,726.2852381
1-31-2021,719.3310526
2-28-2021,784.9536842
3-31-2021,905.45
4-30-2021,1259.929048
5-31-2021,1248.1755
6-30-2021,933.4236364
7-30-2021,1041.94381
8-31-2021,998.7959091
9-30-2021,927.1135714
10-31-2021,938.717619
11-30-2021,969.8065
12-31-2021,978.2995238
1-31-2022,1061.45
2-28-2022,1108.660526
3-31-2022,1211.535
