MES-AÑO,GAS NATURAL (MMBTU),FUEL OIL NO.2 (Miles de Barriles),FUEL OIL NO.6 (Miles de Barriles),CARBÓN (Miles de Toneladas),,,,
Jan-15,"2,335 ",102 ,820 ,90 ,,,,
Feb-15,"1,799 ",183 ,778 ,62 ,,,,
Mar-15,"3,605 ",43 ,792 ,69 ,,,,
Apr-15,"3,655 ",70 ,767 ,67 ,,,,
May-15,"3,553 ",150 ,793 ,77 ,,,,
Jun-15,"3,332 ",174 ,781 ,77 ,,,,
Jul-15,"3,390 ",178 ,874 ,85 ,,,,
Aug-15,"3,640 ",190 ,855 ,82 ,,,,
Sep-15,"3,129 ",192 ,823 ,85 ,,,,
Oct-15,"3,072 ",232 ,879 ,86 ,,,,
Nov-15,"3,234 ",110 ,746 ,79 ,,,,
Dec-15,"3,838 ",67 ,667 ,88 ,,,,
Jan-16,"3,152 ",48 ,797 ,90 ,,,,
Feb-16,"2,631 ",141 ,827 ,75 ,,,,
Mar-16,"2,904 ",181 ,888 ,59 ,,,,
Apr-16,"3,182 ",165 ,907 ,64 ,,,,
May-16,"2,626 ",244 ,922 ,79 ,,,,
Jun-16,"2,509 ",200 ,851 ,88 ,,,,
Jul-16,"2,704 ",227 ,929 ,86 ,,,,
Aug-16,"2,996 ",249 ,809 ,87 ,,,,
Sep-16,"3,144 ",235 ,831 ,80 ,,,,
Oct-16,"3,531 ",157 ,775 ,90 ,,,,
Nov-16,"3,192 ",50 ,662 ,85 ,,,,
Dec-16,"3,654 ",32 ,648 ,88 ,,,,
Jan-17,"2,497 ",102 ,741 ,92 ,,,,
Feb-17,"2,758 ",116 ,698 ,54 ,,,,
Mar-17,"2,610 ",109 ,742 ,69 ,,,,
Apr-17,"3,550 ",60 ,651 ,78 ,,,,
May-17,"3,733 ",37 ,678 ,71 ,,,,
Jun-17,"3,705 ",67 ,726 ,87 ,,,,
Jul-17,"3,538 ",113 ,755 ,90 ,,,,
Aug-17,"4,017 ",83 ,744 ,91 ,,,,
Sep-17,"3,803 ",80 ,618 ,89 ,,,,
Oct-17,"4,135 ",97 ,628 ,91 ,,,,
Nov-17,"3,965 ",95 ,550 ,80 ,,,,
Dec-17,"3,993 ",23 ,609 ,96 ,,,,
Jan-18,"3,442 ","1,546 ","26,014 ",93 ,,,,
Feb-18,"3,177 ",109 ,"18,151 ",82 ,,,,
Mar-18,"3,252 ","2,780 ","30,918 ",72 ,,,,
Apr-18,"3,857 ","1,102 ","28,717 ",85 ,,,,
May-18,"3,988 ","4,071 ","32,104 ",56 ,,,,
Jun-18,"3,864 ","5,545 ","35,390 ",59 ,,,,
Jul-18,"4,073 ","7,299 ","35,557 ",64 ,,,,
Aug-18,"4,074 ","6,006 ","32,913 ",84 ,,,,
Sep-18,"2,645 ","10,650 ","37,088 ",83 ,,,,
Oct-18,"3,276 ","6,534 ","36,847 ",97 ,,,,
Nov-18,"3,124 ","7,554 ","36,904 ",89 ,,,,
Dec-18,"2,916 ","5,854 ","34,558 ",96 ,,,,
Jan-19,"2,944 ","2,558 ","34,468 ",92 ,,,,
Feb-19,"2,903 ","5,408 ","32,035 ",60 ,,,,
Mar-19,"3,422 ","9,704 ","35,219 ",78 ,,,,
Apr-19,"2,666 ","8,433 ","33,222 ",120 ,,,,
May-19,"3,913 ","7,823 ","33,200 ",120 ,,,,
Jun-19,"4,124 ","7,033 ","36,762 ",91 ,,,,
Jul-19,"4,261 ","6,965 ","34,019 ",140 ,,,,
Aug-19,"4,591 ","7,310 ","34,307 ",130 ,,,,
Sep-19,"3,337 ","12,530 ","32,099 ",162 ,,,,
Oct-19,"3,593 ","7,357 ","30,989 ",180 ,,,,
Nov-19,"3,875 ","3,830 ","27,255 ",151 ,,,,
Dec-19,"4,023 ","2,354 ","22,443 ",197 ,,,,
Jan-20,"3,738 ","1,355 ","18,941 ",184 ,,,,
Feb-20,"3,067 ","2,479 ","18,938 ",192 ,,,,
Mar-20,"3,835 ","1,285 ","15,166 ",182 ,,,,
Apr-20,"4,187 ",467 ,"16,199 ",169 ,,,,
May-20,"3,810 ",407 ,"14,524 ",243 ,,,,
Jun-20,"4,475 ","1,961 ","16,721 ",229 ,,,,
Jul-20,"4,553 ","3,999 ","13,198 ",246 ,,,,
Aug-20,"5,178 ",793 ,"15,436 ",218 ,,,,
Sep-20,"4,463 ","1,453 ","18,637 ",240 ,,,,
Oct-20,"5,114 ",621 ,"10,649 ",228 ,,,,
Nov-20,"5,370 ",546 ,"8,228 ",209 ,,,,
Dec-20,"5,675 ",286 ,"7,035 ",206 ,,,,
Jan-21,"4,164 ",449 ,"18,275 ",140 ,,,,
Feb-21,"5,632 ",496 ,"11,578 ",126 ,,,,
Mar-21,"6,118 ",615 ,"10,493 ",172 ,,,,
Apr-21,"5,720 ",282 ,"10,242 ",196 ,,,,
May-21,"6,246 ",484 ,"10,791 ",212 ,,,,
Jun-21,"5,420 ",734 ,"10,173 ",220 ,,,,
Jul-21,"5,747 ",442 ,"11,328 ",249 ,,,,
Aug-21,"5,079 ","1,469 ","16,964 ",239 ,,,,
Sep-21,"5,640 ","4,816 ","23,202 ",215 ,,,,
Oct-21,"5,473 ","2,526 ","18,937 ",271 ,,,,
Nov-21,"5,444 ","1,200 ","20,562 ",229 ,,,,
Dec-21,"5,244 ","1,226 ","19,924 ",188 ,,,,
Jan-22,"4,501 ",514 ,"18,820 ",217 ,,,,
Feb-22,"4,206 ",210 ,"13,904 ",201 ,,,,
Mar-22,"5,638 ",280 ,"16,823 ",192 ,,,,
Apr-22,"5,844 ",381 ,"15,572 ",181 ,,,,
May-22,"5,685 ",422 ,"24,440 ",192 ,,,,
Jun-22,"5,920 ","1,100 ","17,754 ",213 ,,,,
Jul-22,"6,485 ",372 ,"9,370 ",239 ,,,,
Aug-22,"6,387 ",308 ,"14,531 ",240 ,,,,
Sep-22,"5,031 ",287 ,"22,810 ",240 ,,,,
Oct-22,"5,424 ",346 ,"23,754 ",241 ,,,,
Nov-22,"4,515 ","1,416 ","22,692 ",214 ,,,,
Oct-22,"5,424 ",346 ,"23,754 ",241 ,,,,
Nov-22,"4,515 ","1,416 ","22,692 ",214 ,,,,
Dec-22,"4,594 ",648 ,"17,280 ",231 ,,,,
Jan-23,"3,669 ",739 ,"22,089 ",225 ,,,,
Feb-23,"4,179 ",259 ,"14,388 ",198 ,,,,
Mar-23,"6,298 ",339 ,"12,380 ",222 ,,,,
Apr-23,"5,921 ",274 ,"12,958 ",237 ,,,,
May-23,"6,855 ",715 ,"22,115 ",223 ,,,,
Jun-23,"6,613 ","2,900 ","32,359 ",169 ,,,,
Jul-23,"6,597 ","2,007 ","24,039 ",230 ,,,,
Aug-23,"6,699 ",947 ,"20,496 ",259 ,,,,
Sep-23,"6,269 ",991 ,"27,076 ",256 ,,,,
Oct-23,"7,305 ","1,737 ","23,971 ",276 ,,,,
Nov-23,"6,168 ",454 ,"12,049 ",270 ,,,,
