DATE,14TR_231_AGUA,14TR_232_PROD
1/1/2024 00:00:00,26.83,24.47
1/1/2024 00:10:00,26.76,24.4
1/1/2024 00:20:00,26.65,24.5
1/1/2024 00:30:00,26.5,24.47
1/1/2024 00:40:00,26.5,24.53
1/1/2024 00:50:00,26.43,24.61
1/1/2024 01:00:00,26.54,24.89
1/1/2024 01:10:00,26.68,24.78
1/1/2024 01:20:00,26.57,24.86
1/1/2024 01:30:00,26.75,24.67
1/1/2024 01:40:00,26.68,24.67
1/1/2024 01:50:00,26.68,24.81
1/1/2024 02:00:00,26.68,24.75
1/1/2024 02:10:00,26.61,24.71
1/1/2024 02:20:00,26.43,24.57
1/1/2024 02:30:00,26.54,24.5
1/1/2024 02:40:00,26.47,24.61
1/1/2024 02:50:00,26.36,24.57
1/1/2024 03:00:00,26.36,24.45
1/1/2024 03:10:00,26.29,24.6
1/1/2024 03:20:00,26.36,24.38
1/1/2024 03:30:00,26.5,24.45
1/1/2024 03:40:00,26.43,24.27
1/1/2024 03:50:00,26.18,24.28
1/1/2024 04:00:00,26.13,24.13
1/1/2024 04:10:00,26,24.03
1/1/2024 04:20:00,25.93,23.77
1/1/2024 04:30:00,25.86,23.91
1/1/2024 04:40:00,25.82,23.95
1/1/2024 04:50:00,25.68,23.79
1/1/2024 05:00:00,25.67,23.81
1/1/2024 05:10:00,25.67,23.81
1/1/2024 05:20:00,25.6,23.73
1/1/2024 05:30:00,25.5,23.77
1/1/2024 05:40:00,25.5,23.84
1/1/2024 05:50:00,25.42,23.7
1/1/2024 06:00:00,25.42,23.55
1/1/2024 06:10:00,25.34,23.77
1/1/2024 06:20:00,25.35,23.77
1/1/2024 06:30:00,25.36,23.51
1/1/2024 06:40:00,25.35,23.73
1/1/2024 06:50:00,25.49,23.59
1/1/2024 07:00:00,25.42,23.3
1/1/2024 07:10:00,25.28,23.12
1/1/2024 07:20:00,24.96,22.76
1/1/2024 07:30:00,24.81,22.48
1/1/2024 07:40:00,24.45,22.19
1/1/2024 07:50:00,24.63,22.26
1/1/2024 08:00:00,24.6,22.19
1/1/2024 08:10:00,24.6,22.4
1/1/2024 08:20:00,24.53,22.55
1/1/2024 08:30:00,24.45,22.58
1/1/2024 08:40:00,24.66,22.51
1/1/2024 08:50:00,24.63,22.55
1/1/2024 09:00:00,24.77,22.72
1/1/2024 09:10:00,24.49,22.58
1/1/2024 09:20:00,24.66,22.69
1/1/2024 09:30:00,24.99,22.98
1/1/2024 09:40:00,24.99,23.09
1/1/2024 09:50:00,25.31,23.61
1/1/2024 10:00:00,25.27,23.7
1/1/2024 10:10:00,25.39,23.99
1/1/2024 10:20:00,25.67,23.88
1/1/2024 10:30:00,25.74,23.86
1/1/2024 10:40:00,25.96,24
1/1/2024 10:50:00,26.11,24.5
1/1/2024 11:00:00,26.17,24.43
1/1/2024 11:10:00,26.15,24.57
1/1/2024 11:20:00,26.04,24.18
1/1/2024 11:30:00,26.62,24.01
1/1/2024 11:40:00,26.68,24.09
1/1/2024 11:50:00,26.72,24.41
1/1/2024 12:00:00,26.72,25.23
1/1/2024 12:10:00,27.26,25.3
1/1/2024 12:20:00,27.79,25.38
1/1/2024 12:30:00,27.43,25.81
1/1/2024 12:40:00,27.43,26.02
1/1/2024 12:50:00,27.58,26.24
1/1/2024 13:00:00,27.69,26.35
1/1/2024 13:10:00,27.95,26.53
1/1/2024 13:20:00,28.16,26.26
1/1/2024 13:30:00,28.34,26.5
1/1/2024 13:40:00,28.31,26.29
1/1/2024 13:50:00,28.45,26.54
1/1/2024 14:00:00,28.81,26.72
1/1/2024 14:10:00,28.96,26.76
1/1/2024 14:20:00,28.89,26.79
1/1/2024 14:30:00,29.14,27.04
1/1/2024 14:40:00,29.18,27.12
1/1/2024 14:50:00,29.25,27.23
1/1/2024 15:00:00,29.5,27.23
1/1/2024 15:10:00,29.57,27.38
1/1/2024 15:20:00,29.75,27.38
1/1/2024 15:30:00,29.83,27.53
1/1/2024 15:40:00,29.83,27.56
1/1/2024 15:50:00,29.9,27.71
1/1/2024 16:00:00,30.05,27.62
1/1/2024 16:10:00,30.04,27.82
1/1/2024 16:20:00,30.05,27.86
1/1/2024 16:30:00,30.11,27.86
1/1/2024 16:40:00,30.34,27.89
1/1/2024 16:50:00,30.27,28.01
1/1/2024 17:00:00,30.27,28.11
1/1/2024 17:10:00,30.4,28.24
1/1/2024 17:20:00,30.41,28.29
1/1/2024 17:30:00,30.41,28.33
1/1/2024 17:40:00,30.51,28.16
1/1/2024 17:50:00,30.56,27.91
1/1/2024 18:00:00,30.55,28.01
1/1/2024 18:10:00,30.48,28.23
1/1/2024 18:20:00,30.63,28.12
1/1/2024 18:30:00,30.59,28.19
1/1/2024 18:40:00,30.55,28.33
1/1/2024 18:50:00,30.38,28.12
1/1/2024 19:00:00,30.41,28.12
1/1/2024 19:10:00,30.48,28.48
1/1/2024 19:20:00,30.44,28.01
1/1/2024 19:30:00,30.48,28.16
1/1/2024 19:40:00,30.48,28.22
1/1/2024 19:50:00,30.55,27.97
1/1/2024 20:00:00,30.59,28.11
1/1/2024 20:10:00,30.51,27.95
1/1/2024 20:20:00,30.59,28.18
1/1/2024 20:30:00,30.69,27.96
1/1/2024 20:40:00,30.65,28.25
1/1/2024 20:50:00,30.69,28
1/1/2024 21:00:00,30.61,27.75
1/1/2024 21:10:00,30.44,27.75
1/1/2024 21:20:00,30.26,27.75
1/1/2024 21:30:00,30.11,27.6
1/1/2024 21:40:00,30.07,27.53
1/1/2024 21:50:00,30.04,27.42
1/1/2024 22:00:00,29.75,27.14
1/1/2024 22:10:00,29.61,27.23
1/1/2024 22:20:00,29.5,27.12
1/1/2024 22:30:00,29.32,27.12
1/1/2024 22:40:00,29.18,26.98
1/1/2024 22:50:00,28.96,27.05
1/1/2024 23:00:00,28.89,26.9
1/1/2024 23:10:00,28.78,26.9
1/1/2024 23:20:00,28.61,26.83
1/1/2024 23:30:00,28.53,26.84
1/1/2024 23:40:00,28.59,26.9
1/1/2024 23:50:00,28.53,26.72
2/1/2024 00:00:00,28.53,26.69
2/1/2024 00:10:00,28.46,26.79
2/1/2024 00:20:00,28.42,26.52
2/1/2024 00:30:00,28.17,26.68
2/1/2024 00:40:00,28.28,26.4
2/1/2024 00:50:00,28.28,26.43
2/1/2024 01:00:00,28.17,26.45
2/1/2024 01:10:00,28.21,26.43
2/1/2024 01:20:00,28.28,26.43
2/1/2024 01:30:00,28.21,26.25
2/1/2024 01:40:00,28.06,25.89
2/1/2024 01:50:00,27.88,25.49
2/1/2024 02:00:00,27.59,25.39
2/1/2024 02:10:00,27.12,24.84
2/1/2024 02:20:00,26.83,24.7
2/1/2024 02:30:00,26.66,24.62
2/1/2024 02:40:00,26.62,24.55
2/1/2024 02:50:00,26.47,24.33
2/1/2024 03:00:00,26.33,24.4
2/1/2024 03:10:00,26.4,24.37
2/1/2024 03:20:00,26.51,24.68
2/1/2024 03:30:00,26.55,24.68
2/1/2024 03:40:00,26.62,24.87
2/1/2024 03:50:00,26.68,24.9
2/1/2024 04:00:00,26.87,25.04
2/1/2024 04:10:00,26.86,25.11
2/1/2024 04:20:00,26.76,24.9
2/1/2024 04:30:00,26.76,25.11
2/1/2024 04:40:00,26.69,24.9
2/1/2024 04:50:00,26.69,24.9
2/1/2024 05:00:00,26.58,24.9
2/1/2024 05:10:00,26.47,24.87
2/1/2024 05:20:00,26.47,25.04
2/1/2024 05:30:00,26.43,24.9
2/1/2024 05:40:00,26.55,24.9
2/1/2024 05:50:00,26.51,24.97
2/1/2024 06:00:00,26.72,24.83
2/1/2024 06:10:00,27.05,25.15
2/1/2024 06:20:00,26.86,25.15
2/1/2024 06:30:00,27.05,25.09
2/1/2024 06:40:00,27.15,24.9
2/1/2024 06:50:00,27.22,25.04
2/1/2024 07:00:00,27.41,24.9
2/1/2024 07:10:00,26.45,24.04
2/1/2024 07:20:00,25.83,23.37
2/1/2024 07:30:00,25.4,22.91
2/1/2024 07:40:00,25.19,23.25
2/1/2024 07:50:00,25.22,23.31
