 Meses , Inflacion mensual , TC-Vendedor 
9/1/2020, 0.028 , 79.14 
10/1/2020, 0.038 , 82.55 
11/1/2020, 0.032 , 85.12 
12/1/2020, 0.040 , 87.75 
1/1/2021, 0.040 , 90.94 
2/1/2021, 0.036 , 93.53 
3/1/2021, 0.048 , 96.09 
4/1/2021, 0.041 , 98.20 
5/1/2021, 0.033 , 99.17 
6/1/2021, 0.032 , 100.24 
7/1/2021, 0.030 , 101.31 
8/1/2021, 0.025 , 102.29 
9/1/2021, 0.035 , 103.44 
10/1/2021, 0.035 , 104.53 
11/1/2021, 0.025 , 105.43 
12/1/2021, 0.038 , 106.95 
1/1/2022, 0.039 , 108.96 
2/1/2022, 0.047 , 111.54 
3/1/2022, 0.067 , 114.58 
4/1/2022, 0.060 , 118.36 
5/1/2022, 0.051 , 122.90 
6/1/2022, 0.053 , 127.68 
7/1/2022, 0.074 , 134.73 
8/1/2022, 0.070 , 141.65 
9/1/2022, 0.062 , 149.62 
10/1/2022, 0.063 , 158.62 
11/1/2022, 0.049 , 168.39 
12/1/2022, 0.051 , 179.29 
1/1/2023, 0.060 , 189.02 
2/1/2023, 0.066 , 198.33 
3/1/2023, 0.077 , 209.75 
4/1/2023, 0.084 , 222.92 
5/1/2023, 0.078 , 239.98 
6/1/2023, 0.060 , 258.68 
7/1/2023, 0.063 , 278.14 
8/1/2023, 0.124 , 335.68 
9/1/2023, 0.127 , 365.50 
10/1/2023, 0.083 , 365.50 
11/1/2023, 0.128 , 369.33 
12/1/2023, 0.255 , 663.30 
1/1/2024, 0.206 , 837.83 
2/1/2024, 0.132 , 853.76 
3/1/2024, 0.110 , 869.05 
4/1/2024, 0.088 , 887.93 
5/1/2024, 0.071 , 905.66 
6/1/2024, 0.067 , 918.07 
,,
,,
