HORA,CANTIDAD,SENTIDO,LATITUD,LONGITUD
1/1/1911,1235,Ingreso,-34.633299,-58.468594
1/2/1911,1570,Ingreso,-34.633299,-58.468594
1/3/1911,1849,Ingreso,-34.633299,-58.468594
1/4/1911,1543,Ingreso,-34.633299,-58.468594
1/5/1911,1368,Ingreso,-34.633299,-58.468594
1/6/1911,1347,Ingreso,-34.633299,-58.468594
1/7/1911,1278,Ingreso,-34.633299,-58.468594
1/8/1911,1365,Ingreso,-34.633299,-58.468594
1/9/1911,1794,Ingreso,-34.633299,-58.468594
1/10/1911,2255,Ingreso,-34.633299,-58.468594
1/11/1911,1948,Ingreso,-34.633299,-58.468594
1/12/1911,602,Ingreso,-34.633299,-58.468594
1/13/1911,232,Ingreso,-34.633299,-58.468594
1/14/1911,241,Ingreso,-34.633299,-58.468594
1/15/1911,300,Ingreso,-34.633299,-58.468594
1/16/1911,358,Ingreso,-34.633299,-58.468594
1/17/1911,633,Ingreso,-34.633299,-58.468594
1/18/1911,987,Ingreso,-34.633299,-58.468594
1/19/1911,1319,Ingreso,-34.633299,-58.468594
1/20/1911,1467,Ingreso,-34.633299,-58.468594
1/21/1911,1678,Ingreso,-34.633299,-58.468594
1/22/1911,2023,Ingreso,-34.633299,-58.468594
1/23/1911,2093,Ingreso,-34.633299,-58.468594
1/24/1911,2004,Ingreso,-34.633299,-58.468594
1/25/1911,2098,Ingreso,-34.633299,-58.468594
1/26/1911,2562,Ingreso,-34.633299,-58.468594
1/27/1911,2727,Ingreso,-34.633299,-58.468594
1/28/1911,2545,Ingreso,-34.633299,-58.468594
1/29/1911,2318,Ingreso,-34.633299,-58.468594
1/30/1911,1999,Ingreso,-34.633299,-58.468594
1/31/1911,2011,Ingreso,-34.633299,-58.468594
2/1/1911,2405,Ingreso,-34.633299,-58.468594
2/2/1911,3196,Ingreso,-34.633299,-58.468594
2/3/1911,608,Ingreso,-34.633299,-58.468594
2/4/1911,898,Ingreso,-34.633299,-58.468594
2/5/1911,1272,Ingreso,-34.633299,-58.468594
2/6/1911,1399,Ingreso,-34.633299,-58.468594
2/7/1911,1370,Ingreso,-34.633299,-58.468594
2/8/1911,1324,Ingreso,-34.633299,-58.468594
2/9/1911,1406,Ingreso,-34.633299,-58.468594
2/10/1911,1195,Ingreso,-34.633299,-58.468594
2/11/1911,909,Ingreso,-34.633299,-58.468594
2/12/1911,800,Ingreso,-34.633299,-58.468594
2/13/1911,731,Ingreso,-34.633299,-58.468594
2/14/1911,657,Ingreso,-34.633299,-58.468594
2/15/1911,621,Ingreso,-34.633299,-58.468594
2/16/1911,845,Ingreso,-34.633299,-58.468594
2/17/1911,1233,Ingreso,-34.633299,-58.468594
2/18/1911,1489,Ingreso,-34.633299,-58.468594
2/19/1911,697,Ingreso,-34.633299,-58.468594
2/20/1911,296,Ingreso,-34.633299,-58.468594
2/21/1911,250,Ingreso,-34.633299,-58.468594
2/22/1911,327,Ingreso,-34.633299,-58.468594
2/23/1911,457,Ingreso,-34.633299,-58.468594
2/24/1911,708,Ingreso,-34.633299,-58.468594
2/25/1911,1086,Ingreso,-34.633299,-58.468594
2/26/1911,1603,Ingreso,-34.633299,-58.468594
2/27/1911,3010,Ingreso,-34.633299,-58.468594
2/28/1911,2613,Ingreso,-34.633299,-58.468594
3/1/1911,814,Ingreso,-34.633299,-58.468594
3/2/1911,272,Ingreso,-34.633299,-58.468594
3/3/1911,200,Ingreso,-34.633299,-58.468594
3/4/1911,263,Ingreso,-34.633299,-58.468594
3/5/1911,349,Ingreso,-34.633299,-58.468594
3/6/1911,540,Ingreso,-34.633299,-58.468594
3/7/1911,1784,Ingreso,-34.633299,-58.468594
3/8/1911,1892,Ingreso,-34.633299,-58.468594
3/9/1911,2143,Ingreso,-34.633299,-58.468594
3/10/1911,2295,Ingreso,-34.633299,-58.468594
3/11/1911,2374,Ingreso,-34.633299,-58.468594
3/12/1911,2560,Ingreso,-34.633299,-58.468594
3/13/1911,3073,Ingreso,-34.633299,-58.468594
3/14/1911,3556,Ingreso,-34.633299,-58.468594
3/15/1911,3155,Ingreso,-34.633299,-58.468594
3/16/1911,1238,Ingreso,-34.633299,-58.468594
3/17/1911,353,Ingreso,-34.633299,-58.468594
3/18/1911,116,Ingreso,-34.633299,-58.468594
3/19/1911,92,Ingreso,-34.633299,-58.468594
3/20/1911,167,Ingreso,-34.633299,-58.468594
3/21/1911,258,Ingreso,-34.633299,-58.468594
3/22/1911,398,Ingreso,-34.633299,-58.468594
3/23/1911,613,Ingreso,-34.633299,-58.468594
3/24/1911,1057,Ingreso,-34.633299,-58.468594
3/25/1911,1166,Ingreso,-34.633299,-58.468594
3/26/1911,1210,Ingreso,-34.633299,-58.468594
3/27/1911,1252,Ingreso,-34.633299,-58.468594
3/28/1911,1205,Ingreso,-34.633299,-58.468594
3/29/1911,1079,Ingreso,-34.633299,-58.468594
3/30/1911,1162,Ingreso,-34.633299,-58.468594
3/31/1911,1364,Ingreso,-34.633299,-58.468594
4/1/1911,1760,Ingreso,-34.633299,-58.468594
4/2/1911,1677,Ingreso,-34.633299,-58.468594
4/3/1911,1649,Ingreso,-34.633299,-58.468594
4/4/1911,1544,Ingreso,-34.633299,-58.468594
4/5/1911,1475,Ingreso,-34.633299,-58.468594
4/6/1911,1750,Ingreso,-34.633299,-58.468594
4/7/1911,2073,Ingreso,-34.633299,-58.468594
4/8/1911,2435,Ingreso,-34.633299,-58.468594
4/9/1911,2018,Ingreso,-34.633299,-58.468594
4/10/1911,713,Ingreso,-34.633299,-58.468594
4/11/1911,1002,Ingreso,-34.633299,-58.468594
4/12/1911,1085,Ingreso,-34.633299,-58.468594
4/13/1911,1044,Ingreso,-34.633299,-58.468594
4/14/1911,1017,Ingreso,-34.633299,-58.468594
4/15/1911,984,Ingreso,-34.633299,-58.468594
4/16/1911,685,Ingreso,-34.633299,-58.468594
4/17/1911,638,Ingreso,-34.633299,-58.468594
4/18/1911,780,Ingreso,-34.633299,-58.468594
4/19/1911,1681,Ingreso,-34.633299,-58.468594
4/20/1911,1957,Ingreso,-34.633299,-58.468594
4/21/1911,2443,Ingreso,-34.633299,-58.468594
4/22/1911,2084,Ingreso,-34.633299,-58.468594
4/23/1911,2129,Ingreso,-34.633299,-58.468594
4/24/1911,2636,Ingreso,-34.633299,-58.468594
4/25/1911,2957,Ingreso,-34.633299,-58.468594
4/26/1911,1922,Ingreso,-34.633299,-58.468594
4/27/1911,2550,Ingreso,-34.633299,-58.468594
4/28/1911,2393,Ingreso,-34.633299,-58.468594
4/29/1911,2640,Ingreso,-34.633299,-58.468594
4/30/1911,2802,Ingreso,-34.633299,-58.468594
5/1/1911,3010,Ingreso,-34.633299,-58.468594
5/2/1911,3353,Ingreso,-34.633299,-58.468594
5/3/1911,2840,Ingreso,-34.633299,-58.468594
5/4/1911,980,Ingreso,-34.633299,-58.468594
5/5/1911,329,Ingreso,-34.633299,-58.468594
5/6/1911,305,Ingreso,-34.633299,-58.468594
5/7/1911,334,Ingreso,-34.633299,-58.468594
5/8/1911,466,Ingreso,-34.633299,-58.468594
5/9/1911,651,Ingreso,-34.633299,-58.468594
5/10/1911,1047,Ingreso,-34.633299,-58.468594
5/11/1911,1520,Ingreso,-34.633299,-58.468594
5/12/1911,1764,Ingreso,-34.633299,-58.468594
5/13/1911,1754,Ingreso,-34.633299,-58.468594
5/14/1911,2095,Ingreso,-34.633299,-58.468594
5/15/1911,2458,Ingreso,-34.633299,-58.468594
5/16/1911,2080,Ingreso,-34.633299,-58.468594
5/17/1911,2208,Ingreso,-34.633299,-58.468594
5/18/1911,2366,Ingreso,-34.633299,-58.468594
5/19/1911,2605,Ingreso,-34.633299,-58.468594
5/20/1911,2535,Ingreso,-34.633299,-58.468594
5/21/1911,2342,Ingreso,-34.633299,-58.468594
5/22/1911,2426,Ingreso,-34.633299,-58.468594
5/23/1911,2322,Ingreso,-34.633299,-58.468594
5/24/1911,2398,Ingreso,-34.633299,-58.468594
5/25/1911,2546,Ingreso,-34.633299,-58.468594
5/26/1911,2192,Ingreso,-34.633299,-58.468594
5/27/1911,2203,Ingreso,-34.633299,-58.468594
5/28/1911,835,Ingreso,-34.633299,-58.468594
5/29/1911,291,Ingreso,-34.633299,-58.468594
5/30/1911,2757,Ingreso,-34.633299,-58.468594
5/31/1911,2366,Ingreso,-34.633299,-58.468594
6/1/1911,2605,Ingreso,-34.633299,-58.468594
6/2/1911,3229,Ingreso,-34.633299,-58.468594
6/3/1911,3472,Ingreso,-34.633299,-58.468594
6/4/1911,3506,Ingreso,-34.633299,-58.468594
6/5/1911,3050,Ingreso,-34.633299,-58.468594
6/6/1911,1061,Ingreso,-34.633299,-58.468594
6/7/1911,368,Ingreso,-34.633299,-58.468594
6/8/1911,323,Ingreso,-34.633299,-58.468594
6/9/1911,360,Ingreso,-34.633299,-58.468594
6/10/1911,507,Ingreso,-34.633299,-58.468594
6/11/1911,711,Ingreso,-34.633299,-58.468594
6/12/1911,1063,Ingreso,-34.633299,-58.468594
6/13/1911,1430,Ingreso,-34.633299,-58.468594
6/14/1911,1688,Ingreso,-34.633299,-58.468594
6/15/1911,1018,Ingreso,-34.633299,-58.468594
6/16/1911,1225,Ingreso,-34.633299,-58.468594
6/17/1911,1589,Ingreso,-34.633299,-58.468594
6/18/1911,1704,Ingreso,-34.633299,-58.468594
6/19/1911,1606,Ingreso,-34.633299,-58.468594
6/20/1911,528,Ingreso,-34.633299,-58.468594
6/21/1911,213,Ingreso,-34.633299,-58.468594
6/22/1911,213,Ingreso,-34.633299,-58.468594
6/23/1911,653,Ingreso,-34.633299,-58.468594
6/24/1911,858,Ingreso,-34.633299,-58.468594
6/25/1911,1085,Ingreso,-34.633299,-58.468594
6/26/1911,1007,Ingreso,-34.633299,-58.468594
6/27/1911,966,Ingreso,-34.633299,-58.468594
6/28/1911,909,Ingreso,-34.633299,-58.468594
6/29/1911,666,Ingreso,-34.633299,-58.468594
6/30/1911,705,Ingreso,-34.633299,-58.468594
7/1/1911,792,Ingreso,-34.633299,-58.468594
7/2/1911,942,Ingreso,-34.633299,-58.468594
7/3/1911,250,Ingreso,-34.633299,-58.468594
7/4/1911,281,Ingreso,-34.633299,-58.468594
7/5/1911,410,Ingreso,-34.633299,-58.468594
7/6/1911,567,Ingreso,-34.633299,-58.468594
7/7/1911,765,Ingreso,-34.633299,-58.468594
7/8/1911,1027,Ingreso,-34.633299,-58.468594
7/9/1911,1194,Ingreso,-34.633299,-58.468594
7/10/1911,1077,Ingreso,-34.633299,-58.468594
7/11/1911,1056,Ingreso,-34.633299,-58.468594
7/12/1911,872,Ingreso,-34.633299,-58.468594
7/13/1911,746,Ingreso,-34.633299,-58.468594
7/14/1911,720,Ingreso,-34.633299,-58.468594
7/15/1911,742,Ingreso,-34.633299,-58.468594
7/16/1911,871,Ingreso,-34.633299,-58.468594
7/17/1911,1117,Ingreso,-34.633299,-58.468594
7/18/1911,1336,Ingreso,-34.633299,-58.468594
7/19/1911,1088,Ingreso,-34.633299,-58.468594
7/20/1911,334,Ingreso,-34.633299,-58.468594
7/21/1911,251,Ingreso,-34.633299,-58.468594
7/22/1911,350,Ingreso,-34.633299,-58.468594
7/23/1911,489,Ingreso,-34.633299,-58.468594
7/24/1911,731,Ingreso,-34.633299,-58.468594
7/25/1911,1077,Ingreso,-34.633299,-58.468594
7/26/1911,1213,Ingreso,-34.633299,-58.468594
7/27/1911,1104,Ingreso,-34.633299,-58.468594
7/28/1911,1061,Ingreso,-34.633299,-58.468594
7/29/1911,937,Ingreso,-34.633299,-58.468594
7/30/1911,834,Ingreso,-34.633299,-58.468594
7/31/1911,980,Ingreso,-34.633299,-58.468594
8/1/1911,1203,Ingreso,-34.633299,-58.468594
8/2/1911,1340,Ingreso,-34.633299,-58.468594
8/3/1911,1111,Ingreso,-34.633299,-58.468594
8/4/1911,1071,Ingreso,-34.633299,-58.468594
8/5/1911,1027,Ingreso,-34.633299,-58.468594
8/6/1911,1045,Ingreso,-34.633299,-58.468594
8/7/1911,1239,Ingreso,-34.633299,-58.468594
8/8/1911,1418,Ingreso,-34.633299,-58.468594
8/9/1911,1612,Ingreso,-34.633299,-58.468594
8/10/1911,1491,Ingreso,-34.633299,-58.468594
8/11/1911,479,Ingreso,-34.633299,-58.468594
8/12/1911,203,Ingreso,-34.633299,-58.468594
8/13/1911,220,Ingreso,-34.633299,-58.468594
8/14/1911,273,Ingreso,-34.633299,-58.468594
8/15/1911,422,Ingreso,-34.633299,-58.468594
8/16/1911,525,Ingreso,-34.633299,-58.468594
8/17/1911,895,Ingreso,-34.633299,-58.468594
8/18/1911,867,Ingreso,-34.633299,-58.468594
8/19/1911,936,Ingreso,-34.633299,-58.468594
8/20/1911,1193,Ingreso,-34.633299,-58.468594
8/21/1911,1374,Ingreso,-34.633299,-58.468594
