Total_Entrada,Argentinos_Entrada,Extranjeros_Entrada,Total_Salida,Argentinos_Salida,Extranjeros_Salida
"355,636","172,227","183,409","439,764","223,135","216,629"
"395,922","218,598","177,324","345,525","179,309","166,216"
"371,959","182,440","189,519","370,968","189,083","181,885"
"335,940","180,213","155,727","352,085","178,685","173,400"
"313,737","179,552","134,185","326,994","180,343","146,651"
"309,474","167,403","142,071","296,738","154,063","142,675"
"348,910","185,275","163,635","353,995","190,082","163,913"
"325,096","170,503","154,593","321,296","165,988","155,308"
"329,316","181,188","148,128","335,915","186,229","149,686"
"355,001","189,723","165,278","307,307","155,087","152,220"
"333,414","148,044","185,370","307,361","131,734","175,627"
"324,643","131,424","193,219","344,121","153,502","190,619"
"348,567","186,410","162,157","428,377","230,853","197,524"
"372,915","219,137","153,778","323,747","176,994","146,753"
"366,277","198,287","167,990","386,985","224,237","162,748"
"335,026","206,488","128,538","314,060","168,127","145,933"
"292,154","166,899","125,255","310,304","179,191","131,113"
"307,494","179,299","128,195","311,102","173,282","137,820"
"357,485","197,340","160,145","358,691","199,037","159,654"
"333,321","175,795","157,526","326,902","170,913","155,989"
"337,333","189,444","147,889","345,821","194,754","151,067"
"366,445","198,337","168,108","322,816","169,339","153,477"
"352,249","161,935","190,314","330,869","147,927","182,942"
"346,905","144,714","202,191","362,922","165,567","197,355"
"346,291","181,070","165,221","418,044","219,955","198,089"
"372,005","213,821","158,184","318,153","173,876","144,277"
"358,648","191,527","167,121","347,521","173,535","173,986"
"301,037","154,645","146,392","327,170","173,006","154,164"
"317,193","185,007","132,186","322,761","181,784","140,977"
"303,505","168,102","135,403","299,616","160,513","139,103"
"333,874","173,956","159,918","357,258","198,999","158,259"
"342,473","189,983","152,490","343,002","165,782","177,220"
"316,600","176,682","139,918","332,509","178,091","154,418"
"355,941","180,490","175,451","330,740","158,421","172,319"
"334,589","151,720","182,869","327,106","137,098","190,008"
"335,042","136,274","198,768","363,505","158,169","205,336"
"332,525","167,038","165,487","415,292","205,074","210,218"
"351,529","200,722","150,807","325,964","170,740","155,224"
"356,289","205,349","150,940","361,857","204,688","157,169"
"314,690","188,766","125,924","333,772","188,908","144,864"
"314,932","201,158","113,774","344,544","217,008","127,536"
"315,897","200,417","115,480","312,395","184,655","127,740"
"345,446","205,874","139,572","387,249","241,975","145,274"
"368,812","236,367","132,445","363,672","214,146","149,526"
"364,845","231,733","133,112","384,569","245,619","138,950"
"400,576","251,625","148,951","365,635","225,866","139,769"
"378,951","220,957","157,994","364,065","202,913","161,152"
"371,191","197,109","174,082","409,410","231,747","177,663"
"386,739","237,999","148,740","449,102","266,209","182,893"
"406,859","259,955","146,904","379,669","231,214","148,455"
"403,088","254,215","148,873","389,461","241,017","148,444"
"335,657","220,901","114,756","358,499","223,756","134,743"
"339,326","232,649","106,677","365,374","246,758","118,616"
"350,336","238,269","112,067","335,574","217,830","117,744"
"378,054","247,482","130,572","407,326","271,212","136,114"
"377,052","245,864","131,188","363,535","223,410","140,125"
"368,397","242,581","125,816","384,293","255,041","129,252"
"424,361","273,052","151,309","373,230","232,428","140,802"
"387,609","217,814","169,795","368,461","198,912","169,549"
"373,786","196,751","177,035","411,726","230,621","181,105"
"401,257","255,281","145,976","472,020","293,021","178,999"
"418,985","278,508","140,477","388,233","249,716","138,517"
"421,263","270,540","150,723","400,034","250,202","149,832"
"356,406","231,444","124,962","379,589","246,899","132,690"
"352,680","248,966","103,714","374,516","260,581","113,935"
"345,149","238,239","106,910","336,623","223,761","112,862"
"399,599","270,337","129,262","432,019","294,557","137,462"
"393,705","265,636","128,069","385,603","250,240","135,363"
"377,758","251,783","125,975","382,738","258,385","124,353"
"411,153","263,159","147,994","365,341","226,664","138,677"
"391,078","223,104","167,974","365,616","204,563","161,053"
"383,201","203,759","179,442","431,393","252,720","178,673"
"435,814","284,514","151,300","505,009","324,677","180,332"
"443,887","300,948","142,939","400,351","265,584","134,767"
"455,470","293,795","161,675","447,265","293,759","153,506"
"397,088","270,674","126,414","418,552","271,802","146,750"
"407,786","278,757","129,029","418,383","284,388","133,995"
"370,765","250,964","119,801","364,496","234,681","129,815"
"430,501","273,956","156,545","455,107","290,671","164,436"
