Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos;
1/8/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;10;
1/8/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;4;
1/8/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;9;
1/8/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;3;
1/8/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;79;
1/8/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;19;
1/8/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;32;
1/8/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;21;
1/8/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;23;
1/8/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;1;
1/8/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;40;
1/8/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;43;
1/8/2024;0;Auto;AVE;Exento - Demora en cobro;Centro;Exento;1;
1/8/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;50;
1/8/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;5;
1/8/2024;0;Auto;AVE;Exento - Reglamento;Centro;Exento;4;
1/8/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;85;
1/8/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;144;
1/8/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;26;
1/8/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;17;
1/8/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;1;
1/8/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;7;
1/8/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;251;
1/8/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;560;
1/8/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;111;
1/8/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;66;
1/8/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;48;
1/8/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;40;
1/8/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;46;
1/8/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;1;
1/8/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;99;
1/8/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;22;
1/8/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6;
1/8/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;196;
1/8/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;40;
1/8/2024;0;Auto;DEC;Violación - Normal;Centro;Violación;4;
1/8/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;61;
1/8/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;81;
1/8/2024;0;Auto;DEL;Exento - Reglamento;Provincia;Exento;2;
1/8/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;123;
1/8/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;30;
1/8/2024;0;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;6;
1/8/2024;0;Auto;DEL;Tag - PosPago;Provincia;Tag;367;
1/8/2024;0;Auto;DEL;Tag - PosPago OCR;Provincia;Tag;84;
1/8/2024;0;Auto;DEL;Violación - Normal;Provincia;Violación;4;
1/8/2024;0;Auto;KDT;Mercado Pago;Centro;Mercado Pago;97;
1/8/2024;0;Auto;KDT;Mercado Pago;Provincia;Mercado Pago;160;
1/8/2024;0;Auto;KDT;Mercado Pago OCR;Centro;Mercado Pago;10;
1/8/2024;0;Auto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;7;
1/8/2024;0;Auto;KDT;Tag - PosPago;Centro;Tag;400;
1/8/2024;0;Auto;KDT;Tag - PosPago;Provincia;Tag;519;
1/8/2024;0;Auto;KDT;Tag - PosPago OCR;Centro;Tag;25;
1/8/2024;0;Auto;KDT;Tag - PosPago OCR;Provincia;Tag;44;
1/8/2024;0;Auto;KDT;Violación - Normal;Centro;Violación;55;
1/8/2024;0;Auto;KDT;Violación - Normal;Provincia;Violación;70;
1/8/2024;0;Auto;PB1;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Auto;PB1;Mercado Pago OCR;Provincia;Mercado Pago;2;
1/8/2024;0;Auto;PB1;Tag - PosPago;Provincia;Tag;5;
1/8/2024;0;Auto;PB1;Tag - PosPago OCR;Provincia;Tag;6;
1/8/2024;0;Auto;PB1;Violación - Normal;Provincia;Violación;4;
1/8/2024;0;Auto;PB2;Mercado Pago;Centro;Mercado Pago;1;
1/8/2024;0;Auto;PB2;Mercado Pago OCR;Centro;Mercado Pago;1;
1/8/2024;0;Auto;PB2;Tag - PosPago;Centro;Tag;13;
1/8/2024;0;Auto;PB2;Tag - PosPago OCR;Centro;Tag;5;
1/8/2024;0;Auto;PB2;Violación - Normal;Centro;Violación;4;
1/8/2024;0;Auto;PB3;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Auto;PB3;Tag - PosPago;Provincia;Tag;3;
1/8/2024;0;Auto;PB3;Tag - PosPago OCR;Provincia;Tag;6;
1/8/2024;0;Auto;PB3;Violación - Normal;Provincia;Violación;1;
1/8/2024;0;Auto;PB4;Tag - PosPago;Centro;Tag;11;
1/8/2024;0;Auto;PB4;Tag - PosPago OCR;Centro;Tag;4;
1/8/2024;0;Auto;PB4;Violación - Normal;Centro;Violación;2;
1/8/2024;0;Auto;PB5;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Auto;PB5;Tag - PosPago;Provincia;Tag;1;
1/8/2024;0;Auto;PB6;Mercado Pago;Centro;Mercado Pago;2;
1/8/2024;0;Auto;PB6;Tag - PosPago;Centro;Tag;6;
1/8/2024;0;Auto;PB6;Tag - PosPago OCR;Centro;Tag;1;
1/8/2024;0;Auto;PB6;Violación - Normal;Centro;Violación;3;
1/8/2024;0;Auto;SAL;Mercado Pago;Provincia;Mercado Pago;16;
1/8/2024;0;Auto;SAL;Mercado Pago OCR;Provincia;Mercado Pago;2;
1/8/2024;0;Auto;SAL;Tag - PosPago;Provincia;Tag;63;
1/8/2024;0;Auto;SAL;Tag - PosPago OCR;Provincia;Tag;13;
1/8/2024;0;Auto;SAL;Violación - Normal;Provincia;Violación;7;
1/8/2024;0;Auto;SAR;Mercado Pago;Provincia;Mercado Pago;11;
1/8/2024;0;Auto;SAR;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Auto;SAR;Tag - PosPago;Provincia;Tag;43;
1/8/2024;0;Auto;SAR;Tag - PosPago OCR;Provincia;Tag;8;
1/8/2024;0;Auto;SAR;Violación - Normal;Provincia;Violación;4;
1/8/2024;0;Auto con trailer;ALB;Tag - PosPago OCR;Provincia;Tag;1;
1/8/2024;0;Auto con trailer;AVE;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Auto con trailer;AVE;Tag - PosPago;Provincia;Tag;1;
1/8/2024;0;Auto con trailer;AVE;Tag - PosPago OCR;Provincia;Tag;1;
1/8/2024;0;Auto con trailer;DEC;Mercado Pago;Centro;Mercado Pago;1;
1/8/2024;0;Auto con trailer;DEC;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Auto con trailer;DEL;Tag - PosPago;Provincia;Tag;1;
1/8/2024;0;Auto con trailer;KDT;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Auto con trailer;KDT;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Auto con trailer;PB1;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Auto con trailer;PB3;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Auto con trailer;SAR;Tag - PosPago OCR;Provincia;Tag;1;
1/8/2024;0;Moto;ALB;Mercado Pago;Centro;Mercado Pago;1;
1/8/2024;0;Moto;ALB;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Moto;AVE;Efectivo;Centro;Efectivo;2;
1/8/2024;0;Moto;AVE;Efectivo;Provincia;Efectivo;5;
1/8/2024;0;Moto;AVE;Mercado Pago;Centro;Mercado Pago;3;
1/8/2024;0;Moto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Moto;AVE;Tag - Exento;Centro;Tag;1;
1/8/2024;0;Moto;AVE;Tag - PosPago;Centro;Tag;5;
1/8/2024;0;Moto;AVE;Tag - PosPago;Provincia;Tag;7;
1/8/2024;0;Moto;AVE;Tag - PosPago OCR;Provincia;Tag;2;
1/8/2024;0;Moto;AVE;Violación - Normal;Provincia;Violación;3;
1/8/2024;0;Moto;DEC;Efectivo;Centro;Efectivo;2;
1/8/2024;0;Moto;DEC;Mercado Pago;Centro;Mercado Pago;3;
1/8/2024;0;Moto;DEC;Mercado Pago OCR;Centro;Mercado Pago;1;
1/8/2024;0;Moto;DEC;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Moto;DEL;Efectivo;Provincia;Efectivo;1;
1/8/2024;0;Moto;DEL;Exento - Otros motivos;Provincia;Exento;1;
1/8/2024;0;Moto;DEL;Mercado Pago;Provincia;Mercado Pago;4;
1/8/2024;0;Moto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Moto;DEL;Tag - PosPago;Provincia;Tag;7;
1/8/2024;0;Moto;DEL;Violación - Normal;Provincia;Violación;2;
1/8/2024;0;Moto;KDT;Mercado Pago;Centro;Mercado Pago;2;
1/8/2024;0;Moto;KDT;Mercado Pago;Provincia;Mercado Pago;3;
1/8/2024;0;Moto;KDT;Mercado Pago OCR;Centro;Mercado Pago;1;
1/8/2024;0;Moto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Moto;KDT;Tag - PosPago;Centro;Tag;7;
1/8/2024;0;Moto;KDT;Tag - PosPago;Provincia;Tag;4;
1/8/2024;0;Moto;KDT;Tag - PosPago OCR;Centro;Tag;4;
1/8/2024;0;Moto;KDT;Violación - Normal;Centro;Violación;2;
1/8/2024;0;Moto;KDT;Violación - Normal;Provincia;Violación;1;
1/8/2024;0;N/D;ALB;Violación - Normal;Centro;Violación;67;
1/8/2024;0;N/D;ALB;Violación - Normal;Provincia;Violación;30;
1/8/2024;0;N/D;AVE;Violación - Normal;Centro;Violación;90;
1/8/2024;0;N/D;AVE;Violación - Normal;Provincia;Violación;45;
1/8/2024;0;N/D;DEC;Violación - Normal;Centro;Violación;59;
1/8/2024;0;N/D;DEL;Violación - Normal;Provincia;Violación;81;
1/8/2024;0;N/D;KDT;Violación - Normal;Centro;Violación;77;
1/8/2024;0;N/D;KDT;Violación - Normal;Provincia;Violación;71;
1/8/2024;0;N/D;PB1;Violación - Normal;Provincia;Violación;19;
1/8/2024;0;N/D;PB2;Violación - Normal;Centro;Violación;40;
1/8/2024;0;N/D;PB3;Violación - Normal;Provincia;Violación;23;
1/8/2024;0;N/D;PB4;Violación - Normal;Centro;Violación;39;
1/8/2024;0;N/D;PB5;Violación - Normal;Provincia;Violación;2;
1/8/2024;0;N/D;PB6;Violación - Normal;Centro;Violación;5;
1/8/2024;0;N/D;SAL;Violación - Normal;Provincia;Violación;15;
1/8/2024;0;N/D;SAR;Violación - Normal;Provincia;Violación;13;
1/8/2024;0;Pago doble Moto;KDT;Tag - PosPago;Centro;Tag;2;
1/8/2024;0;Pago doble Moto;KDT;Violación - Normal;Centro;Violación;1;
1/8/2024;0;Pago doble Moto;PB2;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Pago doble Moto;PB2;Violación - Normal;Centro;Violación;2;
1/8/2024;0;Pago doble Moto;PB4;Tag - PosPago;Centro;Tag;1;
1/8/2024;0;Pago doble Moto;PB4;Violación - Normal;Centro;Violación;1;
1/8/2024;0;Pesados 2 Ejes;ALB;Mercado Pago;Provincia;Mercado Pago;1;
1/8/2024;0;Pesados 2 Ejes;ALB;Tag - PosPago;Centro;Tag;2;
1/8/2024;0;Pesados 2 Ejes;ALB;Tag - PosPago OCR;Centro;Tag;3;
1/8/2024;0;Pesados 2 Ejes;ALB;Violación - Normal;Provincia;Violación;2;
1/8/2024;0;Pesados 2 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;5;
1/8/2024;0;Pesados 2 Ejes;AVE;Exento - Reglamento;Centro;Exento;3;
1/8/2024;0;Pesados 2 Ejes;AVE;Exento - Reglamento;Provincia;Exento;2;
1/8/2024;0;Pesados 2 Ejes;AVE;Mercado Pago;Centro;Mercado Pago;2;
1/8/2024;0;Pesados 2 Ejes;AVE;Mercado Pago OCR;Provincia;Mercado Pago;1;
1/8/2024;0;Pesados 2 Ejes;AVE;Paso en Infracción;Provincia;Rec.Deuda;1;
1/8/2024;0;Pesados 2 Ejes;AVE;Tag - Exento;Centro;Tag;3;
1/8/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago;Centro;Tag;6;
1/8/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago;Provincia;Tag;14;
1/8/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;6;
