Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/1/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;6
1/1/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;6
1/1/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;15
1/1/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;28
1/1/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;14
1/1/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;99
1/1/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;10
1/1/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;21
1/1/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;142
1/1/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;186
1/1/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;52
1/1/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;18
1/1/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;1
1/1/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;125
1/1/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;166
1/1/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;39
1/1/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;57
1/1/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;7
1/1/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;20
1/1/2024;0;Auto;AVE;Paso en infracción con Multa LPR;Provincia;Rec.Deuda;1
1/1/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;3
1/1/2024;0;Auto;AVE;Tag - Exento;Provincia;Tag;26
1/1/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;487
1/1/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;499
1/1/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;109
1/1/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;166
1/1/2024;0;Auto;AVE;Violación - Normal;Centro;Violación;2
1/1/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;3
1/1/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;96
1/1/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;39
1/1/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;4
1/1/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;133
1/1/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;47
1/1/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6
1/1/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;335
1/1/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;86
1/1/2024;0;Auto;DEC;Violación - Normal;Centro;Violación;4
1/1/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;113
1/1/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;42
1/1/2024;0;Auto;DEL;Exento - Reglamento;Provincia;Exento;11
1/1/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;127
1/1/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;54
1/1/2024;0;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;7
1/1/2024;0;Auto;DEL;Tag - PosPago;Provincia;Tag;244
1/1/2024;0;Auto;DEL;Tag - PosPago OCR;Provincia;Tag;58
1/1/2024;0;Auto;DEL;Violación - Normal;Provincia;Violación;1
1/1/2024;0;Auto;KDT;Mercado Pago;Provincia;Mercado Pago;167
1/1/2024;0;Auto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;18
1/1/2024;0;Auto;KDT;Tag - PosPago;Provincia;Tag;510
1/1/2024;0;Auto;KDT;Tag - PosPago OCR;Provincia;Tag;36
