Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/2/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;5
1/2/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;7
1/2/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;1
1/2/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;4
1/2/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;13
1/2/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;48
1/2/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;1
1/2/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;11
1/2/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;9
1/2/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;13
1/2/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;116
1/2/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;124
1/2/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;51
1/2/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;23
1/2/2024;0;Auto;AVE;Exento - Reglamento;Centro;Exento;2
1/2/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;13
1/2/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;127
1/2/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;148
1/2/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;30
1/2/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;51
1/2/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;8
1/2/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;8
1/2/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;1
1/2/2024;0;Auto;AVE;Tag - Exento;Provincia;Tag;33
1/2/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;362
1/2/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;432
1/2/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;93
1/2/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;181
1/2/2024;0;Auto;AVE;Violación - Normal;Centro;Violación;7
1/2/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;2
1/2/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;87
1/2/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;41
1/2/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;4
1/2/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;157
1/2/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;16
1/2/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;9
1/2/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;313
1/2/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;42
1/2/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;124
1/2/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;67
1/2/2024;0;Auto;DEL;Exento - Reglamento;Provincia;Exento;12
1/2/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;151
1/2/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;36
