Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/7/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;5
1/7/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;3
1/7/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;3
1/7/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;1
1/7/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;36
1/7/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;37
1/7/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;5
1/7/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;8
1/7/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;10
1/7/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;9
1/7/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;14
1/7/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;22
1/7/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;22
1/7/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;8
1/7/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;2
1/7/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;51
1/7/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;10
1/7/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;9
1/7/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;5
1/7/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;6
1/7/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;154
1/7/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;30
1/7/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;22
1/7/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;7
1/7/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;4
1/7/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;31
1/7/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;38
1/7/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;1
1/7/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;72
1/7/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;16
1/7/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6
1/7/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;158
1/7/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;21
1/7/2024;0;Auto;DEC;Violación - Normal;Centro;Violación;2
1/7/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;46
1/7/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;71
1/7/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;96
1/7/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;17
1/7/2024;0;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;2
1/7/2024;0;Auto;DEL;Tag - PosPago;Provincia;Tag;196
1/7/2024;0;Auto;DEL;Tag - PosPago OCR;Provincia;Tag;29
1/7/2024;0;Auto;DEL;Violación - Normal;Provincia;Violación;2
1/7/2024;0;Auto;KDT;Mercado Pago;Provincia;Mercado Pago;2
1/7/2024;0;Auto;KDT;Tag - PosPago;Centro;Tag;1
1/7/2024;0;Auto;KDT;Tag - PosPago;Provincia;Tag;14
1/7/2024;0;Auto;KDT;Tag - PosPago OCR;Provincia;Tag;1
1/7/2024;0;Auto;KDT;Violación - Normal;Centro;Violación;1
1/7/2024;0;Auto;KDT;Violación - Normal;Provincia;Violación;1
1/7/2024;0;Auto;PB1;Tag - PosPago;Provincia;Tag;11
1/7/2024;0;Auto;PB1;Tag - PosPago OCR;Provincia;Tag;3
1/7/2024;0;Auto;PB1;Violación - Normal;Provincia;Violación;1
1/7/2024;0;Auto;PB2;Mercado Pago;Centro;Mercado Pago;1
