Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/3/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;18
1/3/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;23
1/3/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;12
1/3/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;7
1/3/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;74
1/3/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;74
1/3/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;30
1/3/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;29
1/3/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;23
1/3/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;17
1/3/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;134
1/3/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;195
1/3/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;48
1/3/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;55
1/3/2024;0;Auto;AVE;Exento - Reglamento;Centro;Exento;7
1/3/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;6
1/3/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;142
1/3/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;230
1/3/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;34
1/3/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;77
1/3/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;9
1/3/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;7
1/3/2024;0;Auto;AVE;Paso en infracción con Multa LPR;Provincia;Rec.Deuda;3
1/3/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;4
1/3/2024;0;Auto;AVE;Tag - Exento;Provincia;Tag;19
1/3/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;479
1/3/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;679
1/3/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;113
1/3/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;322
1/3/2024;0;Auto;AVE;Violación - Normal;Centro;Violación;6
1/3/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;4
1/3/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;141
1/3/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;67
1/3/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;2
1/3/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;198
1/3/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;30
1/3/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6
1/3/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;392
1/3/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;55
1/3/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;168
1/3/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;108
1/3/2024;0;Auto;DEL;Exento - Reglamento;Provincia;Exento;2
1/3/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;264
1/3/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;33
1/3/2024;0;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;7
