Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/5/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;5
1/5/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;9
1/5/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;7
1/5/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;3
1/5/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;32
1/5/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;29
1/5/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;8
1/5/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;10
1/5/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;12
1/5/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;8
1/5/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;34
1/5/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;93
1/5/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;28
1/5/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;66
1/5/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;44
1/5/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;136
1/5/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;44
1/5/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;29
1/5/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;1
1/5/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;5
1/5/2024;0;Auto;AVE;Paso en infracción con Multa LPR;Centro;Rec.Deuda;2
1/5/2024;0;Auto;AVE;Tag - Exento;Provincia;Tag;2
1/5/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;150
1/5/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;389
1/5/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;109
1/5/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;47
1/5/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;2
1/5/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;34
1/5/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;37
1/5/2024;0;Auto;DEC;Exento - Reglamento;Centro;Exento;1
1/5/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;82
1/5/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;11
1/5/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;3
1/5/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;164
1/5/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;24
1/5/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;72
1/5/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;48
1/5/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;140
1/5/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;28
