Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos;
1/9/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;10;
1/9/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;10;
1/9/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;9;
1/9/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;5;
1/9/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;56;
1/9/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;36;
1/9/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;37;
1/9/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;32;
1/9/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;10;
1/9/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;7;
1/9/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;30;
1/9/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;29;
1/9/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;43;
1/9/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;4;
1/9/2024;0;Auto;AVE;Exento - Reglamento;Centro;Exento;1;
1/9/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;1;
1/9/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;71;
1/9/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;125;
1/9/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;37;
1/9/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;11;
1/9/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;3;
1/9/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;4;
1/9/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;180;
1/9/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;342;
1/9/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;76;
1/9/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;30;
1/9/2024;0;Auto;AVE;Violación - Normal;Centro;Violación;1;
1/9/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;21;
1/9/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;40;
1/9/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;55;
1/9/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;131;
1/9/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;17;
1/9/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;3;
1/9/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;244;
1/9/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;34;
