Fecha,RioIguazuAndresito,RioIguazuPuertoIguazu,RioParanaCorrientes,RioParanaReconquista,RioParanaSantaFe,RioParanaRosario
1/1/2013,0.36,12.2,3.08,2.83,3.05,2.97
1/2/2013,0.56,11.8,3.02,2.81,3.04,2.98
1/3/2013,0.76,12,3,2.84,2.99,2.91
1/4/2013,1.4,12.6,2.98,2.8,2.88,2.91
1/5/2013,1.46,13.8,2.86,2.8,2.86,2.86
1/6/2013,1.1,13.6,2.75,2.9,2.84,2.78
1/7/2013,0.7,13,2.8,2.88,2.78,2.68
1/8/2013,0.5,13.4,2.99,2.9,2.8,2.66
1/9/2013,1.3,14.6,3.28,2.93,2.78,2.6
1/10/2013,2.48,15.6,3.48,3.08,2.77,2.62
1/11/2013,2.28,16,3.5,3.18,2.76,2.62
1/12/2013,2.06,16.6,3.62,3.23,2.74,2.59
1/13/2013,1.34,16.2,3.68,3.33,2.74,2.57
1/14/2013,0.64,15.2,3.71,3.36,2.75,2.57
1/15/2013,0.64,15.4,3.9,3.4,2.75,2.59
1/16/2013,1.12,14,3.84,3.52,2.88,2.62
1/17/2013,1.08,13.8,3.69,3.53,2.88,2.67
1/18/2013,0.8,13.4,3.55,3.54,2.94,2.73
1/19/2013,0.88,13.8,3.37,3.45,3,2.76
1/20/2013,1.06,13.6,3.37,3.35,3.04,2.87
1/21/2013,0.86,12.8,3.27,3.35,3.06,2.87
1/22/2013,0.44,13,3.07,3.19,3.08,2.92
1/23/2013,0.68,12.4,2.76,3.06,3.1,2.93
1/24/2013,1.04,13.4,2.73,2.95,3.03,2.9
1/25/2013,0.98,14.6,2.75,2.83,3.05,2.87
1/26/2013,0.7,13.8,2.84,2.81,3.06,2.8
1/27/2013,0.78,12.2,2.93,2.78,3.06,2.85
1/28/2013,0.54,11.8,2.96,2.74,2.84,2.85
1/29/2013,0.2,12.5,3.1,2.85,2.79,2.77
1/30/2013,0.7,12.1,2.9,2.88,2.74,2.65
1/31/2013,0.9,12.3,2.73,2.89,2.71,2.56
2/1/2013,0.76,11.7,2.56,2.89,2.7,2.51
2/2/2013,0.76,11.9,2.56,2.69,2.7,2.5
2/3/2013,0.76,11.7,2.53,2.65,2.64,2.49
2/4/2013,0.72,11.3,2.53,2.51,2.62,2.47
2/5/2013,0.42,11.5,2.32,2.48,2.62,2.53
2/6/2013,0.76,11.6,2.24,2.43,2.53,2.46
2/7/2013,0.88,12.2,2.08,2.41,2.49,2.32
2/8/2013,0.88,12.6,1.99,2.22,2.44,2.23
2/9/2013,0.94,12.8,2.16,2.16,2.42,2.14
2/10/2013,0.62,12.8,2.32,2.12,2.17,1.97
2/11/2013,0.38,11.8,2.53,2.11,2.09,1.97
2/12/2013,0.3,11.8,2.61,2.31,2.03,1.9
2/13/2013,0.38,12,2.62,2.37,2,1.72
2/14/2013,0.6,12.6,2.48,2.45,2.03,1.59
2/15/2013,1.1,13.4,2.46,2.51,2.02,1.56
2/16/2013,1.24,15.6,2.62,2.51,2.03,1.6
2/17/2013,1.64,16.2,2.67,2.54,2.02,1.66
2/18/2013,1.48,16.4,2.92,2.59,2.02,1.66
2/19/2013,1.2,16.6,3.17,2.62,2.03,1.68
2/20/2013,1.64,16.8,3.45,2.64,2.14,1.93
2/21/2013,1.9,17,3.61,2.73,2.24,1.93
2/22/2013,1.62,16.6,3.66,2.75,2.31,1.95
2/23/2013,1.56,16.9,3.72,2.79,2.35,2.08
2/24/2013,1.6,16.1,3.72,2.98,2.52,2.08
2/25/2013,1.38,15.5,3.7,3.15,2.6,2.12
2/26/2013,1.16,15.2,3.78,3.18,2.66,2.12
2/27/2013,1.52,15.4,3.8,3.35,2.76,2.26
2/28/2013,1.48,15.5,3.8,3.35,2.83,2.42
3/1/2013,1.44,15.5,3.8,3.41,2.83,2.52
3/2/2013,1.36,14.9,3.76,3.42,2.95,2.58
3/3/2013,1.24,15,3.73,3.42,2.98,2.65
3/4/2013,0.58,14.6,3.7,3.4,3.03,2.67
3/5/2013,0.5,14.8,3.7,3.36,3.02,2.68
3/6/2013,1.14,15,3.65,3.38,3.09,2.78
3/7/2013,1.28,15.4,3.56,3.42,3.11,2.82
3/8/2013,1.44,15.4,3.49,3.38,3.1,2.82
3/9/2013,2.2,17.6,3.45,3.32,3.14,2.86
3/10/2013,1.86,16.6,3.55,3.38,3.11,2.92
3/11/2013,1.26,15.3,3.76,3.4,3.15,2.92
3/12/2013,1.66,15.7,4.06,3.43,3.2,2.9
3/13/2013,2.3,16.3,4.4,3.63,3.19,2.95
3/14/2013,3.34,16.9,4.51,3.78,3.2,2.97
3/15/2013,3.26,19.2,4.53,3.82,3.2,2.99
3/16/2013,2.7,16.8,4.53,4,3.21,3.02
3/17/2013,2.5,15.4,4.56,4.02,3.3,3.02
3/18/2013,2.06,15.2,4.6,4.04,3.33,3.05
3/19/2013,1.78,15.5,4.6,4.05,3.38,3.1
3/20/2013,1.7,15.6,4.57,4.07,3.42,3.13
3/21/2013,1.52,15.8,4.4,4.13,3.47,3.17
3/22/2013,1.76,16.1,4.24,4.14,3.51,3.19
