,Year,CO2,GDP,ENC
0,1980,2.03,3317.2726780568837,6385
1,1981,2.1,3463.234057377313,6979
2,1982,2.06,3583.5769016469894,7233
3,1983,2.35,3718.1622539756786,7850
4,1984,2.37,3908.4178507575734,8045
5,1985,2.42,3767.507672441331,8612
6,1986,2.37,3708.499185343559,9368
7,1987,2.37,3788.116910261746,9983
8,1988,2.46,4042.129902924906,10456
9,1989,2.8,4280.952858901148,11848
10,1990,3.18,4536.966835710088,13146
11,1991,3.72,4838.513974644878,14537
12,1992,3.8,5134.589451245452,16161
13,1993,4.04,5503.001149920828,17714
14,1994,4.24,5861.747778784119,19084
15,1995,4.45,6277.610966585399,21883
16,1996,4.95,6731.4029655410295,23786
17,1997,5.18,7041.670938705962,26167
18,1998,5.0,6360.655570426129,25557
19,1999,5.34,6588.196718962975,27228
20,2000,5.72,7007.041503816846,29699
21,2001,5.81,6890.364147959313,31513
22,2002,6.14,7112.055594717028,33290
23,2003,6.4,7374.343049244295,34585
24,2004,6.78,7720.830428520163,37323
25,2005,7.12,7974.250852677865,38284
26,2006,7.3,8255.286043874603,38567
27,2007,7.8,8605.017516655806,41606
28,2008,8.14,8850.00922148093,41968
29,2009,7.21,8559.234499631699,40846
30,2010,7.71,9040.566251171724,41477
31,2011,7.6,9372.00753879807,43456
32,2012,7.58,9743.104797252723,49291
33,2013,8.02,10061.715436643719,51584
34,2014,8.32,10524.070738798382,52209
35,2015,8.19,10912.15134834946,51806
36,2016,7.91,11031.821558174921,57218
37,2017,7.64,11736.849,62489
38,2018,7.75,12131.493,59853
39,2019,7.67,12486.679,61171
