indice_tiempo,valor,origen
1/1/2003,3700,Nacional
2/1/2003,3240,Nacional
3/1/2003,3660,Nacional
4/1/2003,4225,Nacional
5/1/2003,5123,Nacional
6/1/2003,5318,Nacional
7/1/2003,5301,Nacional
8/1/2003,5666,Nacional
9/1/2003,7208,Nacional
10/1/2003,6765,Nacional
11/1/2003,6706,Nacional
12/1/2003,7930,Nacional
1/1/2004,7310,Nacional
2/1/2004,6441,Nacional
3/1/2004,9539,Nacional
4/1/2004,9620,Nacional
5/1/2004,9559,Nacional
6/1/2004,9404,Nacional
7/1/2004,8847,Nacional
8/1/2004,10410,Nacional
9/1/2004,9770,Nacional
10/1/2004,8777,Nacional
11/1/2004,9191,Nacional
12/1/2004,9704,Nacional
1/1/2005,11620,Nacional
2/1/2005,8954,Nacional
3/1/2005,12434,Nacional
4/1/2005,12397,Nacional
5/1/2005,12338,Nacional
6/1/2005,12624,Nacional
7/1/2005,12495,Nacional
8/1/2005,11888,Nacional
9/1/2005,12601,Nacional
10/1/2005,11663,Nacional
11/1/2005,13409,Nacional
12/1/2005,10859,Nacional
1/1/2006,12012,Nacional
2/1/2006,13570,Nacional
3/1/2006,15388,Nacional
4/1/2006,14280,Nacional
5/1/2006,15202,Nacional
6/1/2006,16060,Nacional
7/1/2006,14583,Nacional
8/1/2006,16788,Nacional
9/1/2006,16849,Nacional
10/1/2006,15902,Nacional
11/1/2006,17405,Nacional
12/1/2006,20440,Nacional
1/1/2007,17524,Nacional
2/1/2007,15474,Nacional
3/1/2007,19520,Nacional
4/1/2007,19464,Nacional
5/1/2007,19139,Nacional
6/1/2007,18280,Nacional
7/1/2007,19332,Nacional
8/1/2007,20242,Nacional
9/1/2007,19882,Nacional
10/1/2007,21296,Nacional
11/1/2007,21514,Nacional
12/1/2007,22687,Nacional
1/1/2008,21928,Nacional
2/1/2008,15328,Nacional
3/1/2008,22006,Nacional
4/1/2008,23079,Nacional
5/1/2008,24048,Nacional
6/1/2008,19738,Nacional
7/1/2008,23516,Nacional
8/1/2008,19967,Nacional
9/1/2008,22038,Nacional
10/1/2008,18726,Nacional
11/1/2008,13642,Nacional
12/1/2008,14449,Nacional
1/1/2009,15678,Nacional
2/1/2009,10679,Nacional
3/1/2009,14698,Nacional
4/1/2009,16476,Nacional
5/1/2009,16959,Nacional
6/1/2009,16612,Nacional
7/1/2009,19136,Nacional
8/1/2009,17589,Nacional
9/1/2009,18186,Nacional
10/1/2009,18734,Nacional
11/1/2009,17649,Nacional
12/1/2009,16336,Nacional
1/1/2010,15790,Nacional
2/1/2010,18132,Nacional
3/1/2010,19082,Nacional
4/1/2010,19302,Nacional
5/1/2010,20625,Nacional
6/1/2010,22852,Nacional
7/1/2010,22945,Nacional
8/1/2010,23652,Nacional
9/1/2010,22453,Nacional
10/1/2010,22977,Nacional
11/1/2010,27510,Nacional
12/1/2010,27212,Nacional
1/1/2011,19440,Nacional
2/1/2011,16236,Nacional
3/1/2011,24343,Nacional
4/1/2011,23771,Nacional
5/1/2011,26385,Nacional
6/1/2011,30203,Nacional
