indice_tiempo,origen_viajeros,viajeros,observaciones
2007-01-01,Residentes,1679499,
2007-01-01,No residentes,464201,
2007-02-01,Residentes,1493372,
2007-02-01,No residentes,479876,
2007-03-01,Residentes,1285612,
2007-03-01,No residentes,429054,
2007-04-01,Residentes,1184937,
2007-04-01,No residentes,359611,
2007-05-01,Residentes,1017821,
2007-05-01,No residentes,267746,
2007-06-01,Residentes,986388,
2007-06-01,No residentes,256661,
2007-07-01,Residentes,1449734,
2007-07-01,No residentes,360762,
2007-08-01,Residentes,1264511,
2007-08-01,No residentes,335387,
2007-09-01,Residentes,1190139,
2007-09-01,No residentes,350584,
2007-10-01,Residentes,1197509,
2007-10-01,No residentes,423885,
2007-11-01,Residentes,1180881,
2007-11-01,No residentes,522120,
2007-12-01,Residentes,1157963,
2007-12-01,No residentes,462169,
2008-01-01,Residentes,1697465,
2008-01-01,No residentes,521147,
2008-02-01,Residentes,1524649,
2008-02-01,No residentes,473153,
2008-03-01,Residentes,1405891,
2008-03-01,No residentes,448778,
2008-04-01,Residentes,1025658,
2008-04-01,No residentes,329339,
2008-05-01,Residentes,978413,
2008-05-01,No residentes,288593,
2008-06-01,Residentes,847891,
2008-06-01,No residentes,253636,
2008-07-01,Residentes,1290900,
2008-07-01,No residentes,362357,
2008-08-01,Residentes,1298271,
2008-08-01,No residentes,334270,
2008-09-01,Residentes,1187173,
2008-09-01,No residentes,323577,
2008-10-01,Residentes,1218873,
2008-10-01,No residentes,371001,
2008-11-01,Residentes,1136324,
2008-11-01,No residentes,413620,
2008-12-01,Residentes,1062506,
2008-12-01,No residentes,403635,
2009-01-01,Residentes,1598761,
2009-01-01,No residentes,423870,
2009-02-01,Residentes,1420688,
2009-02-01,No residentes,380677,
2009-03-01,Residentes,1120143,
2009-03-01,No residentes,341728,
2009-04-01,Residentes,1048095,
2009-04-01,No residentes,307509,
2009-05-01,Residentes,940758,
2009-05-01,No residentes,242771,
2009-06-01,Residentes,821751,
2009-06-01,No residentes,219867,
2009-07-01,Residentes,1072833,
2009-07-01,No residentes,211806,
2009-08-01,Residentes,1052863,
2009-08-01,No residentes,228956,
2009-09-01,Residentes,1075959,
2009-09-01,No residentes,267382,
2009-10-01,Residentes,1226871,
2009-10-01,No residentes,372174,
2009-11-01,Residentes,1138377,
2009-11-01,No residentes,451252,
2009-12-01,Residentes,1071071,
2009-12-01,No residentes,427848,
2010-01-01,Residentes,1648866,
2010-01-01,No residentes,472111,
2010-02-01,Residentes,1409230,
2010-02-01,No residentes,466297,
2010-03-01,Residentes,1178140,
2010-03-01,No residentes,407669,
2010-04-01,Residentes,1098531,
2010-04-01,No residentes,331505,
2010-05-01,Residentes,1027615,
2010-05-01,No residentes,282877,
2010-06-01,Residentes,906323,
2010-06-01,No residentes,299240,
