indice_tiempo,superficie_sembrada_centeno_ha,superficie_cosechada_centeno_ha,produccion_centeno_t,rendimiento_centeno_kgxha
1923,157510,152652,97876,641
1924,156000,65471,37020,565
1925,202590,144092,121163,841
1926,220100,197095,142120,721
1927,339800,268663,207505,772
1928,516000,350779,228000,650
1929,522450,219735,111794,509
1930,535000,202320,104892,518
1931,557770,388077,247500,638
1932,657000,480270,320000,666
1933,715520,290380,184133,634
1934,863600,533020,397412,746
1935,708000,271159,153000,564
1936,1269295,440642,215476,489
1937,1199275,364661,131302,360
1938,975480,562705,371268,660
1939,929050,541349,370000,683
1940,1346400,300000,240300,801
1941,1077000,213894,140000,655
1942,1767410,253456,150900,595
1943,1825400,802820,557200.3,694
1944,1614538,328330,189400,577
1945,1503461,569607,293028,514
1946,1943991,923434,552193,598
1947,1766200,713320,470700,660
1948,1835000,566800,305200,538
1949,1863000,467000,277100,593
1950,2191200,984600,631000,641
1951,1996800,151700,81200,535
1952,2483100,1068900,1334800,1249
1953,2445200,836000,607200,726
1954,2432700,1093200,835850,765
1955,2579500,890000,653900,735
1956,2807400,1219500,880000,722
1957,2861500,893400,630000,705
1958,2834600,1063900,817000,768
1959,2895400,1316800,1060000,805
1960,2660000,732800,505000,689
1961,2645500,694500,510000,734
1962,2469000,286550,163100,569
1963,2163100,655100,538000,821
1964,2131200,773400,651500,842
1965,2135800,331200,245000,740
1966,2285400,420300,270000,642
1967,2285500,564500,352000,624
1968,2500000,604200,360000,596
1969,2488900,528400,377000,713
1970,1976900,360300,180700,502
1971,2202200,432700,256000,592
1972,2533990,746500,690000,924
1973,2515180,656000,613000,934
1974,2369780,374700,306000,817
1975,2407576,299500,273200,912
1976,2299985,340000,330000,971
1977,2139950,240000,170000,708
1978,1721940,260000,210000,808
1979,1493980,225000,202000,898
1980,1489185,210000,155000,738
1981,1338385,162200,149000,919
1982,1482985,173700,148000,852
1983,1222485,160400,130000,810
1984,1070285,159200,155800,979
1985,829985,90000,94000,1044
1986,775500,64700,60000,927
1987,581200,96325,88300,917
1988,460000,54580,41200,755
1989,595000,80570,62500,776
1990,507000,68000,55100,810
1991,451800,50800,46000,906
1992,462900,48100,34000,707
1993,460400,73850,63700,863
1994,473000,56255,54030,960
1995,390305,50930,40200,789
1996,380200,42600,36340,853
1997,352900,63150,61740,978
1998,372300,60500,66240,1095
1999,386750,94065,120345,1279
2000,394950,89495,129750,1450
2001,359650,64029,86530,1351
2002,338040,56450,79150,1402
2003,340490,38601,36670,950
2004,293700,62460,91870,1471
2005,206990,28675,33070,1153
2006,221100,14750,17483,1185
2007,227180,38700,77180,1994
2008,202850,33580,33859,1008
2009,152100,26430,25135,951
2010,158600,24100,44460,1845
2011,156040,23405,43110,1842
2012,162850,22725,39700,1747
2013,310280,31965,52130,1631
2014,319170,51112,97398,1906
2015,331690,34390,60676,1764
2016,307520,40890,78810,1927
2017,322710,45034,86098,1912
2018,344708,49321,86566,1755
2019,726379,108532,221201,2038
2020,667809,86000,135945,1581
