indice_tiempo,visualizaciones_totales
11/1/2015,175312
12/1/2015,388344
1/1/2016,196010
2/1/2016,118493
3/1/2016,88194
4/1/2016,72206
5/1/2016,60668
6/1/2016,51699
7/1/2016,117433
8/1/2016,103321
9/1/2016,118120
10/1/2016,155491
11/1/2016,174669
12/1/2016,152096
1/1/2017,175311
2/1/2017,172377
3/1/2017,167534
4/1/2017,175977
5/1/2017,158162
6/1/2017,137514
7/1/2017,167792
8/1/2017,194247
9/1/2017,199498
10/1/2017,205944
11/1/2017,177237
12/1/2017,156213
1/1/2018,163128
2/1/2018,140141
3/1/2018,125901
4/1/2018,137553
5/1/2018,142796
6/1/2018,129584
7/1/2018,136027
8/1/2018,139089
9/1/2018,145674
10/1/2018,119673
11/1/2018,122552
12/1/2018,117240
1/1/2019,112788
2/1/2019,107388
3/1/2019,119932
4/1/2019,161626
5/1/2019,119413
6/1/2019,87651
7/1/2019,120557
8/1/2019,118908
9/1/2019,113330
10/1/2019,115022
11/1/2019,93678
12/1/2019,85437
1/1/2020,93437
2/1/2020,90592
3/1/2020,232381
4/1/2020,334919
5/1/2020,319126
6/1/2020,265242
7/1/2020,295282
8/1/2020,278405
9/1/2020,229614
10/1/2020,206667
11/1/2020,180569
12/1/2020,160530
1/1/2021,156364
2/1/2021,149108
3/1/2021,139716
4/1/2021,145102
5/1/2021,163590
6/1/2021,186626
7/1/2021,156844
8/1/2021,151652
9/1/2021,153270
10/1/2021,138148
11/1/2021,131061
12/1/2021,118206
1/1/2022,146164
2/1/2022,108375
3/1/2022,114228
4/1/2022,116525
5/1/2022,119085
6/1/2022,131301
7/1/2022,153437
8/1/2022,138304
9/1/2022,125425
10/1/2022,118177
11/1/2022,90550
12/1/2022,79058
1/1/2023,90632
2/1/2023,80500
3/1/2023,78581
4/1/2023,86864
5/1/2023,94687
6/1/2023,94556
7/1/2023,102647
8/1/2023,95627
