,Date,unique_id,visits,CPI,Inflation_Rate,GDP,static_1,static_2,static_3,static_4
0,1998-01-01,AAAHol,2015.444457,67.4,0.009,399674000000.0,A,A,A,Hol
1,1998-02-01,AAAHol,514.3375998,67.4,0.009,399674000000.0,A,A,A,Hol
2,1998-03-01,AAAHol,532.0974702,67.4,0.009,399674000000.0,A,A,A,Hol
3,1998-04-01,AAAHol,534.0590832,67.4,0.009,399674000000.0,A,A,A,Hol
4,1998-05-01,AAAHol,505.2222719,67.4,0.009,399674000000.0,A,A,A,Hol
5,1998-06-01,AAAHol,412.7977166,67.4,0.009,399674000000.0,A,A,A,Hol
6,1998-07-01,AAAHol,528.7362028,67.4,0.009,399674000000.0,A,A,A,Hol
7,1998-08-01,AAAHol,539.6189162,67.4,0.009,399674000000.0,A,A,A,Hol
8,1998-09-01,AAAHol,512.5583724,67.4,0.009,399674000000.0,A,A,A,Hol
9,1998-10-01,AAAHol,476.2340912,67.4,0.009,399674000000.0,A,A,A,Hol
10,1998-11-01,AAAHol,676.2238067,67.4,0.009,399674000000.0,A,A,A,Hol
11,1998-12-01,AAAHol,355.7710892,67.4,0.009,399674000000.0,A,A,A,Hol
12,1999-01-01,AAAHol,1357.753331,68.4,0.015,389652000000.0,A,A,A,Hol
13,1999-02-01,AAAHol,312.2404399,68.4,0.015,389652000000.0,A,A,A,Hol
14,1999-03-01,AAAHol,269.2598498,68.4,0.015,389652000000.0,A,A,A,Hol
15,1999-04-01,AAAHol,503.1830981,68.4,0.015,389652000000.0,A,A,A,Hol
16,1999-05-01,AAAHol,563.5175753,68.4,0.015,389652000000.0,A,A,A,Hol
17,1999-06-01,AAAHol,285.7434339,68.4,0.015,389652000000.0,A,A,A,Hol
18,1999-07-01,AAAHol,642.4568038,68.4,0.015,389652000000.0,A,A,A,Hol
19,1999-08-01,AAAHol,393.0213994,68.4,0.015,389652000000.0,A,A,A,Hol
20,1999-09-01,AAAHol,506.1579191,68.4,0.015,389652000000.0,A,A,A,Hol
21,1999-10-01,AAAHol,675.9437179,68.4,0.015,389652000000.0,A,A,A,Hol
22,1999-11-01,AAAHol,407.4429129,68.4,0.015,389652000000.0,A,A,A,Hol
23,1999-12-01,AAAHol,495.1529508,68.4,0.015,389652000000.0,A,A,A,Hol
24,2000-01-01,AAAHol,1459.005973,71.5,0.045,416168000000.0,A,A,A,Hol
25,2000-02-01,AAAHol,421.1905183,71.5,0.045,416168000000.0,A,A,A,Hol
26,2000-03-01,AAAHol,746.6276349,71.5,0.045,416168000000.0,A,A,A,Hol
27,2000-04-01,AAAHol,455.8076021,71.5,0.045,416168000000.0,A,A,A,Hol
28,2000-05-01,AAAHol,438.4918703,71.5,0.045,416168000000.0,A,A,A,Hol
29,2000-06-01,AAAHol,371.0810078,71.5,0.045,416168000000.0,A,A,A,Hol
30,2000-07-01,AAAHol,511.6409866,71.5,0.045,416168000000.0,A,A,A,Hol
31,2000-08-01,AAAHol,512.3971207,71.5,0.045,416168000000.0,A,A,A,Hol
32,2000-09-01,AAAHol,1327.945226,71.5,0.045,416168000000.0,A,A,A,Hol
33,2000-10-01,AAAHol,1836.717278,71.5,0.045,416168000000.0,A,A,A,Hol
34,2000-11-01,AAAHol,606.4617396,71.5,0.045,416168000000.0,A,A,A,Hol
35,2000-12-01,AAAHol,430.0671352,71.5,0.045,416168000000.0,A,A,A,Hol
36,2001-01-01,AAAHol,1229.574554,74.6,0.044,379629000000.0,A,A,A,Hol
37,2001-02-01,AAAHol,381.9090103,74.6,0.044,379629000000.0,A,A,A,Hol
38,2001-03-01,AAAHol,281.8026719,74.6,0.044,379629000000.0,A,A,A,Hol
39,2001-04-01,AAAHol,938.6365079,74.6,0.044,379629000000.0,A,A,A,Hol
40,2001-05-01,AAAHol,309.5396993,74.6,0.044,379629000000.0,A,A,A,Hol
41,2001-06-01,AAAHol,462.9470461,74.6,0.044,379629000000.0,A,A,A,Hol
42,2001-07-01,AAAHol,442.5739839,74.6,0.044,379629000000.0,A,A,A,Hol
43,2001-08-01,AAAHol,270.3542228,74.6,0.044,379629000000.0,A,A,A,Hol
44,2001-09-01,AAAHol,518.9146611,74.6,0.044,379629000000.0,A,A,A,Hol
45,2001-10-01,AAAHol,648.3663166,74.6,0.044,379629000000.0,A,A,A,Hol
