fecha,n
2020-04-01,68
2020-04-02,56
2020-04-03,41
2020-04-04,47
2020-04-05,42
2020-04-06,64
2020-04-07,38
2020-04-08,51
2020-04-09,57
2020-04-10,45
2020-04-11,41
2020-04-12,39
2020-04-13,49
2020-04-14,59
2020-04-15,58
2020-04-16,73
2020-04-17,65
2020-04-18,64
2020-04-19,59
2020-04-20,83
2020-04-21,76
2020-04-22,98
2020-04-23,81
2020-04-24,72
2020-04-25,65
2020-04-26,61
2020-04-27,82
2020-04-28,75
2020-04-29,106
2020-04-30,86
2020-05-01,66
2020-05-02,77
2020-05-03,75
2020-05-04,113
2020-05-05,85
2020-05-06,93
2020-05-07,82
2020-05-08,93
2020-05-09,97
2020-05-10,69
2020-05-11,108
2020-05-12,113
2020-05-13,104
2020-05-14,113
2020-05-15,120
2020-05-16,104
2020-05-17,82
2020-05-18,124
2020-05-19,133
2020-05-20,124
2020-05-21,100
2020-05-22,115
2020-05-23,80
2020-05-24,70
2020-05-25,71
2020-05-26,115
2020-05-27,132
2020-05-28,119
2020-05-29,125
2020-05-30,94
2020-05-31,91
2020-06-01,129
2020-06-02,103
2020-06-03,123
2020-06-04,117
2020-06-05,103
2020-06-06,96
2020-06-07,103
2020-06-08,146
2020-06-09,166
2020-06-10,138
2020-06-11,135
2020-06-12,125
2020-06-13,106
2020-06-14,82
2020-06-15,98
2020-06-16,159
2020-06-17,147
2020-06-18,152
2020-06-19,137
2020-06-20,98
2020-06-21,65
2020-06-22,156
2020-06-23,124
2020-06-24,116
2020-06-25,145
2020-06-26,166
2020-06-27,113
2020-06-28,105
2020-06-29,134
2020-06-30,114
2020-07-01,98
2020-07-02,108
2020-07-03,95
2020-07-04,97
2020-07-05,69
2020-07-06,124
2020-07-07,129
2020-07-08,134
2020-07-09,96
2020-07-10,117
2020-07-11,146
2020-07-12,114
2020-07-13,142
2020-07-14,148
2020-07-15,148
2020-07-16,152
2020-07-17,132
2020-07-18,141
2020-07-19,110
2020-07-20,173
2020-07-21,142
2020-07-22,156
2020-07-23,154
2020-07-24,153
2020-07-25,136
2020-07-26,92
2020-07-27,163
2020-07-28,138
2020-07-29,150
2020-07-30,180
2020-07-31,143
2020-08-01,163
2020-08-02,111
2020-08-03,147
2020-08-04,148
2020-08-05,166
2020-08-06,150
2020-08-07,158
2020-08-08,148
2020-08-09,106
2020-08-10,164
2020-08-11,174
2020-08-12,164
2020-08-13,168
2020-08-14,147
2020-08-15,164
2020-08-16,94
2020-08-17,126
2020-08-18,169
2020-08-19,155
2020-08-20,170
2020-08-21,194
2020-08-22,137
2020-08-23,94
2020-08-24,170
2020-08-25,153
2020-08-26,169
2020-08-27,189
2020-08-28,161
2020-08-29,126
2020-08-30,98
2020-08-31,132
2020-09-01,175
2020-09-02,117
2020-09-03,178
2020-09-04,171
2020-09-05,142
2020-09-06,114
2020-09-07,156
2020-09-08,161
2020-09-09,207
2020-09-10,187
2020-09-11,181
2020-09-12,141
2020-09-13,130
2020-09-14,184
2020-09-15,185
2020-09-16,175
2020-09-17,199
2020-09-18,202
2020-09-19,154
2020-09-20,127
2020-09-21,174
2020-09-22,164
2020-09-23,169
2020-09-24,167
2020-09-25,186
2020-09-26,124
2020-09-27,113
2020-09-28,204
2020-09-29,184
2020-09-30,181
2020-10-01,201
2020-10-02,187
2020-10-03,157
2020-10-04,126
2020-10-05,185
2020-10-06,183
2020-10-07,188
2020-10-08,201
2020-10-09,181
2020-10-10,175
2020-10-11,132
2020-10-12,140
2020-10-13,213
2020-10-14,188
2020-10-15,192
2020-10-16,233
2020-10-17,168
2020-10-18,140
2020-10-19,188
2020-10-20,155
2020-10-21,202
2020-10-22,165
2020-10-23,202
2020-10-24,199
2020-10-25,160
2020-10-26,193
2020-10-27,224
2020-10-28,208
2020-10-29,214
2020-10-30,218
2020-10-31,189
2020-11-01,172
2020-11-02,243
2020-11-03,222
2020-11-04,237
2020-11-05,237
2020-11-06,207
2020-11-07,216
2020-11-08,171
2020-11-09,232
2020-11-10,226
2020-11-11,253
2020-11-12,217
2020-11-13,251
2020-11-14,188
2020-11-15,182
2020-11-16,223
2020-11-17,209
2020-11-18,205
2020-11-19,246
2020-11-20,232
2020-11-21,203
2020-11-22,159
2020-11-23,186
2020-11-24,263
2020-11-25,222
2020-11-26,271
2020-11-27,248
2020-11-28,177
2020-11-29,163
2020-11-30,215
2020-12-01,236
2020-12-02,218
2020-12-03,239
2020-12-04,219
2020-12-05,222
2020-12-06,139
2020-12-07,167
2020-12-08,149
2020-12-09,271
2020-12-10,282
2020-12-11,259
2020-12-12,218
2020-12-13,159
2020-12-14,249
2020-12-15,221
2020-12-16,237
2020-12-17,241
2020-12-18,276
2020-12-19,236
2020-12-20,186
2020-12-21,255
2020-12-22,244
2020-12-23,269
2020-12-24,138
2020-12-25,98
2020-12-26,137
2020-12-27,144
2020-12-28,257
2020-12-29,261
2020-12-30,245
2020-12-31,143
2021-01-01,146
2021-01-02,172
2021-01-03,180
2021-01-04,283
2021-01-05,255
2021-01-06,243
2021-01-07,267
2021-01-08,233
2021-01-09,190
2021-01-10,176
2021-01-11,240
2021-01-12,250
2021-01-13,218
2021-01-14,237
2021-01-15,240
2021-01-16,232
2021-01-17,233
2021-01-18,262
2021-01-19,270
2021-01-20,251
2021-01-21,263
2021-01-22,251
2021-01-23,218
2021-01-24,194
2021-01-25,288
2021-01-26,241
2021-01-27,249
2021-01-28,255
2021-01-29,266
2021-01-30,208
2021-01-31,192
2021-02-01,263
2021-02-02,245
2021-02-03,257
2021-02-04,285
2021-02-05,272
2021-02-06,230
2021-02-07,184
2021-02-08,305
2021-02-09,256
2021-02-10,242
2021-02-11,249
2021-02-12,247
2021-02-13,212
2021-02-14,194
2021-02-15,170
2021-02-16,196
2021-02-17,279
2021-02-18,284
2021-02-19,282
2021-02-20,226
2021-02-21,198
2021-02-22,236
2021-02-23,254
2021-02-24,253
2021-02-25,296
2021-02-26,273
2021-02-27,250
2021-02-28,217
2021-03-01,280
2021-03-02,299
2021-03-03,278
2021-03-04,285
2021-03-05,306
2021-03-06,243
2021-03-07,205
2021-03-08,298
2021-03-09,265
2021-03-10,315
2021-03-11,272
2021-03-12,308
2021-03-13,222
2021-03-14,217
2021-03-15,272
2021-03-16,255
2021-03-17,264
