indice_tiempo,trigo,maiz,arroz,cebada,poroto_soja,harina_soja
1/1/1980,175.6347504,105.506813,395,66.58453805,238.7660366,201.7560391
2/1/1980,172.6952362,114.1678314,399,66.58453805,241.3613196,198.2617122
3/1/1980,163.5093231,109.8373184,415,69.89783564,227.0757795,186.1032185
4/1/1980,156.5280304,108.2626038,419,69.89783564,218.2104765,181.1979331
5/1/1980,161.3047028,109.8373184,433,68.24118685,225.9044571,187.3929227
6/1/1980,157.6303406,113.3804703,442,64.92788926,232.6338192,190.0605161
7/1/1980,168.6534424,130.7024841,442,86.52804084,273.7219723,222.6779077
8/1/1980,171.2254944,143.3003082,442,81.55809446,279.6015515,234.4836619
9/1/1980,179.6765289,140.9382172,442,78.24479687,303.3036051,263.7610503
10/1/1980,188.1275787,140.5445404,442,88.18468963,315.0168293,282.8310359
11/1/1980,195.1088715,146.8434448,463,103.2219633,334.9063433,302.6726395
12/1/1980,182.6160278,145.2687225,470,94.87500207,293.2899468,256.9928588
1/1/1981,189.5973206,151.961319,470,92.5174634,283.4829924,247.5019584
2/1/1981,181.5137177,143.3003082,480,94.17411219,275.6741763,237.8457114
3/1/1981,175.2673035,142.1192627,505,89.20416581,272.4817486,231.4412826
4/1/1981,180.4114075,144.4813538,515,82.57757064,288.2601505,247.4688891
5/1/1981,171.5929413,140.9382172,519,82.57757064,278.2235251,242.2549566
6/1/1981,168.6534424,136.214035,535,70.91731182,264.9715048,227.1422685
7/1/1981,167.9185791,137.7887573,523,77.54390699,268.1179984,227.4950082
8/1/1981,170.1231842,127.1593399,498,75.8872582,254.0391622,217.4749983
9/1/1981,171.2254944,115.7425613,487,70.91731182,242.8082473,207.3447574
10/1/1981,168.6534424,111.4120483,455,73.59343679,241.2464841,204.8094414
11/1/1981,178.574234,110.6246872,428,77.54390699,236.5382273,206.330631
12/1/1981,176.0021667,105.506813,379,69.26066303,231.0031547,205.8125447
1/1/1982,173.0626831,113.3804703,343,72.57396061,233.9659114,210.0454201
2/1/1982,170.8580627,112.5931015,324,75.8872582,231.3246942,206.9809947
3/1/1982,168.6534424,114.1678314,325,70.91731182,227.1446808,201.3922763
4/1/1982,169.7557373,116.1362305,312.5,70.21642195,240.0751616,209.2848253
5/1/1982,167.5511322,116.5299225,299,76.20584451,241.6828591,209.4391489
6/1/1982,155.7931519,114.9551926,292,71.87307074,231.0261218,201.2269296
7/1/1982,151.751358,111.4120483,290,58.55616313,226.3867663,197.3908863
8/1/1982,152.4862213,101.1763229,287,59.257053,211.8945223,183.9867808
9/1/1982,152.853653,97.63317871,270,54.92427924,200.0664625,172.7432054
10/1/1982,146.6072235,90.94057465,254,50.27291916,195.6567781,170.9133686
11/1/1982,155.0582733,102.7510529,258,50.27291916,207.8523116,190.0164236
12/1/1982,159.8349609,105.506813,266,53.58621675,208.4035221,191.7911448
1/1/1983,164.9790649,108.2626038,260,53.58621675,214.4438711,197.5231636
2/1/1983,164.2441864,117.3172836,270,57.91899052,216.9472856,195.0870556
3/1/1983,166.0813751,125.190918,282,56.89951434,219.0832265,195.7153731
4/1/1983,167.1837006,133.458252,282,66.90312436,233.8051416,207.9951211
5/1/1983,160.2023926,133.851944,280,63.58982677,228.3849046,200.0364334
6/1/1983,151.751358,135.0329742,269,66.58453805,221.3340029,192.5737859
7/1/1983,147.3421173,140.5445404,260,64.92788926,242.2800038,208.9210626
8/1/1983,152.4862213,152.7486877,275,76.58814807,311.1353884,261.2918729
9/1/1983,156.5280304,147.6308136,298,87.35636523,329.0497312,260.9611795
10/1/1983,152.853653,148.0245056,290,88.18468963,309.7343949,254.8764211
11/1/1983,151.751358,146.8434448,283,89.90505569,299.9274405,255.7031546
12/1/1983,153.5885315,142.9066315,273,78.24479687,289.2707032,241.3069689
1/1/1984,152.853653,142.1192627,257,84.87139204,276.04165,222.1708445
2/1/1984,150.6490326,137.0013885,253,84.87139204,265.4997483,210.0013277
3/1/1984,153.9559784,146.0560913,253,87.54751702,286.6065189,222.0054978
4/1/1984,157.2629089,148.0245056,256,92.5174634,289.3396045,215.3254913
5/1/1984,153.9559784,146.0560913,253,93.21835327,312.2378095,213.440539
6/1/1984,149.9141693,146.8434448,256,89.90505569,287.3644334,202.8142579
7/1/1984,146.9746704,142.5129395,273,72.89254692,245.1738592,181.087702
8/1/1984,152.4862213,138.5761261,272,66.58453805,236.5611944,171.2109927
9/1/1984,155.0582733,130.3087921,252,68.87835946,222.9646675,162.8885423
10/1/1984,152.853653,121.254097,250,70.59872551,225.5599505,165.4348814
11/1/1984,152.4862213,117.3172836,228,71.23589813,225.674786,167.9701974
12/1/1984,149.5467377,113.7741394,224,61.55087441,217.0391541,160.0115098
1/1/1985,149.1792908,119.6793671,225,66.58453805,215.7529961,155.5581721
2/1/1985,147.3421173,119.6793671,220,68.24118685,213.8696934,145.8909019
3/1/1985,145.1374817,120.4667435,221,64.92788926,216.2353053,145.8357863
4/1/1985,143.6677399,120.0730667,222,68.24118685,219.9330095,141.5257491
