fechas,incendios,precipitaciones,rain
1/1/1998,0,32.34408602,2.874039939
2/1/1998,0,32.39387755,2.990901361
3/1/1998,0,32.17403994,3.128801843
4/1/1998,0,32.1567911,3.740349484
5/1/1998,0,31.84661017,2.988751926
6/1/1998,2,31.8047812,2.660453809
7/1/1998,71,32.17060281,1.972667217
8/1/1998,321,32.47927301,1.236117556
9/1/1998,267,32.53349206,1.626190476
10/1/1998,83,32.43066872,2.49008455
11/1/1998,6,32.11714286,2.550952381
12/1/1998,196,32.26528418,2.484024578
1/1/1999,3,31.77302075,4.455726364
2/1/1999,43,31.71488095,4.492602041
3/1/1999,7,31.94385561,3.797004608
4/1/1999,2,31.69189833,4.48943606
5/1/1999,0,31.68247502,4.079477325
6/1/1999,7,31.87801587,2.307222222
7/1/1999,11,31.9978445,1.721555042
8/1/1999,259,32.24569892,1.410445469
9/1/1999,216,32.45642857,2.182142857
10/1/1999,479,32.55791091,1.617281106
11/1/1999,32,32.37758347,2.142209857
12/1/1999,2,32.19132104,2.713133641
1/1/2000,7,31.98026114,3.392549923
2/1/2000,62,32.00369458,3.406732348
3/1/2000,69,31.98294931,4.25453149
4/1/2000,18,31.91579365,4.098968254
5/1/2000,51,31.94969278,3.676267281
6/1/2000,6,32.0947619,2.261507937
7/1/2000,39,31.91414297,2.00914681
8/1/2000,180,32.4969278,1.617588326
9/1/2000,189,32.51277778,2.304126984
10/1/2000,145,32.46989247,2.425038402
11/1/2000,27,32.54071429,2.429285714
12/1/2000,60,32.3622598,2.70991545
1/1/2001,3,31.85115207,4.947311828
2/1/2001,8,32.03069728,3.568452381
3/1/2001,6,32.23425499,3.605606759
4/1/2001,1,32.25957109,3.494598888
5/1/2001,0,32.10906298,3.055376344
6/1/2001,5,31.70396825,2.588253968
7/1/2001,9,32.21436252,1.897388633
8/1/2001,501,32.83602151,1.284178187
9/1/2001,166,32.70881652,1.932327244
10/1/2001,332,32.96390169,1.69047619
11/1/2001,244,32.76004766,1.954249404
12/1/2001,22,32.39646697,3.389784946
1/1/2002,17,32.35092166,3.078341014
2/1/2002,2,32.19294218,4.156207483
3/1/2002,5,32.19677171,3.634511914
4/1/2002,2,32.17920635,4.494365079
5/1/2002,8,32.09498069,3.368880309
6/1/2002,5,32.05039683,2.644761905
7/1/2002,146,32.34500768,1.993471582
8/1/2002,741,32.63850884,1.823366641
9/1/2002,928,32.91904762,1.61452381
10/1/2002,695,32.81314374,2.374481168
11/1/2002,259,32.68144,2.30904
12/1/2002,44,32.28444958,3.877906082
1/1/2003,158,32.62607692,2.247846154
2/1/2003,62,32.31785714,3.934268707
3/1/2003,64,32.28248848,3.717434716
4/1/2003,11,32.22036595,4.123070804
5/1/2003,2,32.13115385,3.549846154
6/1/2003,3,32.21650641,2.714022436
7/1/2003,180,32.3140553,1.796006144
8/1/2003,1.867,32.4814433,1.820962199
9/1/2003,1.401,32.62010008,1.725604671
10/1/2003,725,32.7064915,2.152395672
11/1/2003,169,32.63798978,2.3620954
12/1/2003,147,32.66340807,2.12941704
1/1/2004,123,32.34714882,2.577746871
2/1/2004,92,32.27987589,3.31498227
3/1/2004,6,32.23463132,4.4990058
4/1/2004,4,32.34521368,3.055982906
5/1/2004,0,31.92459157,3.089853826
6/1/2004,12,32.05188246,2.243342516
7/1/2004,177,32.17472853,2.230799605
8/1/2004,1.207,32.53998302,1.984974533
9/1/2004,911,32.6302139,1.878253119
10/1/2004,710,32.82914339,2.383426443
11/1/2004,209,32.67329749,1.976612903
12/1/2004,53,32.60385701,2.404421449
1/1/2005,44,32.70568475,2.386735573
2/1/2005,6,32.18172249,4.062488038
3/1/2005,12,32.26699288,4.607117438
4/1/2005,5,32.24358508,4.036123749
5/1/2005,8,32.40678261,3.120695652
6/1/2005,78,32.29229935,2.018655098
7/1/2005,676,32.39293194,1.283769634
8/1/2005,2.316,32.82242704,1.333410138
9/1/2005,2.812,32.87515873,1.518174603
10/1/2005,545,32.96870355,1.757803468
11/1/2005,261,32.65528,2.44624
12/1/2005,17,32.31391238,3.688470407
1/1/2006,20,32.30883257,3.614208909
2/1/2006,10,32.19098639,3.861564626
3/1/2006,20,32.26021505,3.866666667
4/1/2006,5,32.21072858,3.710728583
