Dia,Cataratas
3/4/2024,61
3/5/2024,55
3/6/2024,55
3/7/2024,71
3/8/2024,46
3/9/2024,69
3/10/2024,59
3/11/2024,64
3/12/2024,53
3/13/2024,54
3/14/2024,48
3/15/2024,50
3/16/2024,67
3/17/2024,80
3/18/2024,59
3/19/2024,69
3/20/2024,85
3/21/2024,77
3/22/2024,83
3/23/2024,57
3/24/2024,99
3/25/2024,69
3/26/2024,64
3/27/2024,75
3/28/2024,89
3/29/2024,100
3/30/2024,85
3/31/2024,97
4/1/2024,82
4/2/2024,84
4/3/2024,61
4/4/2024,65
4/5/2024,64
4/6/2024,55
4/7/2024,71
4/8/2024,88
4/9/2024,60
4/10/2024,52
4/11/2024,45
4/12/2024,61
4/13/2024,43
4/14/2024,76
4/15/2024,62
4/16/2024,70
4/17/2024,58
4/18/2024,60
4/19/2024,62
4/20/2024,63
4/21/2024,56
4/22/2024,62
4/23/2024,64
4/24/2024,71
4/25/2024,52
4/26/2024,47
4/27/2024,79
4/28/2024,66
4/29/2024,60
4/30/2024,63
5/1/2024,61
5/2/2024,57
5/3/2024,60
5/4/2024,80
5/5/2024,81
5/6/2024,84
5/7/2024,62
5/8/2024,69
5/9/2024,53
5/10/2024,63
5/11/2024,71
5/12/2024,79
5/13/2024,73
5/14/2024,83
5/15/2024,67
5/16/2024,71
5/17/2024,64
5/18/2024,58
5/19/2024,88
5/20/2024,64
5/21/2024,66
5/22/2024,60
5/23/2024,67
5/24/2024,57
5/25/2024,57
5/26/2024,76
5/27/2024,70
5/28/2024,62
5/29/2024,59
5/30/2024,58
5/31/2024,59
6/1/2024,58
6/2/2024,69
6/3/2024,60
6/4/2024,64
