indice_tiempo,produccion_leche
2015-01,973.8
2015-02,746.7
2015-03,864.0
2015-04,879.4
2015-05,949.4
2015-06,986.1
2015-07,1049.8
2015-08,1093.1
2015-09,1148.9
2015-10,1193.0
2015-11,1111.5
2015-12,1065.2
2016-01,905.8
2016-02,777.8
2016-03,813.4
2016-04,696.7
2016-05,740.7
2016-06,775.2
2016-07,840.9
2016-08,936.4
2016-09,976.5
2016-10,1002.8
2016-11,917.3
2016-12,908.8
2017-01,812.0
2017-02,681.6
2017-03,731.7
2017-04,710.9
2017-05,782.0
2017-06,795.6
2017-07,861.4
2017-08,911.1
2017-09,938.9
2017-10,991.0
2017-11,951.5
2017-12,929.8
2018-01,884.6
2018-02,741.3
2018-03,809.9
2018-04,775.7
2018-05,798.2
2018-06,833.7
2018-07,897.0
2018-08,947.5
2018-09,974.1
2018-10,1011.4
2018-11,942.6
2018-12,910.6
2019-01,819.9
2019-02,668.3
2019-03,745.5
2019-04,736.9
2019-05,784.9
2019-06,807.9
2019-07,897.4
2019-08,967.1
2019-09,986.5
2019-10,1021.0
2019-11,961.4
2019-12,946.6
2020-01,864.9
2020-02,771.2
2020-03,793.7
2020-04,793.6
2020-05,870.5
2020-06,893.9
2020-07,965.4
2020-08,1015.9
2020-09,1022.3
2020-10,1079.2
