,p,i,q,P,I,Q,AIC
0,0,1,0,0,0,0,4301.61723829828
0,0,1,0,0,0,1,4210.183167855076
0,0,1,0,0,0,2,4175.726802776993
0,0,1,0,0,0,3,4147.759043277368
0,0,1,0,1,0,0,4137.450489403538
0,0,1,0,1,0,1,4028.669703979157
0,0,1,0,1,0,2,4030.4645378002356
0,0,1,0,1,0,3,4031.720821151125
0,0,1,0,2,0,0,4099.359679773697
0,0,1,0,2,0,1,4030.48669685955
0,0,1,0,2,0,2,4031.8264131201404
0,0,1,0,2,0,3,4033.1130859734576
0,0,1,0,3,0,0,4073.7368817576
0,0,1,0,3,0,1,4031.7119306393643
0,0,1,0,3,0,2,4033.2551361020373
0,0,1,0,3,0,3,4029.8961138594987
0,0,1,1,0,0,0,4199.945827112874
0,0,1,1,0,0,1,4088.926841879721
0,0,1,1,0,0,2,4064.9847202363535
0,0,1,1,0,0,3,4043.9593790510708
0,0,1,1,1,0,0,4008.9293131489585
0,0,1,1,1,0,1,3900.9096364001925
0,0,1,1,1,0,2,3901.574843378765
0,0,1,1,1,0,3,3906.4608769500974
0,0,1,1,2,0,0,3985.2898943600767
0,0,1,1,2,0,1,3901.729991685995
0,0,1,1,2,0,2,187.25014398021432
0,0,1,1,2,0,3,inf
0,0,1,1,3,0,0,3953.0945363007936
0,0,1,1,3,0,1,3902.652558855856
0,0,1,1,3,0,2,inf
0,0,1,1,3,0,3,3917.143778597863
0,0,1,2,0,0,0,4162.221605899265
0,0,1,2,0,0,1,4066.8023099514717
0,0,1,2,0,0,2,4030.837990988859
0,0,1,2,0,0,3,4009.379461375588
0,0,1,2,1,0,0,3988.531146831364
0,0,1,2,1,0,1,3896.0969121698854
0,0,1,2,1,0,2,3896.5896797002397
0,0,1,2,1,0,3,3901.761344033211
0,0,1,2,2,0,0,3960.6142767293795
0,0,1,2,2,0,1,3899.738603677002
0,0,1,2,2,0,2,3906.3358963099263
0,0,1,2,2,0,3,3903.955775712984
0,0,1,2,3,0,0,3944.1535782641727
0,0,1,2,3,0,1,3897.8709818317643
0,0,1,2,3,0,2,3904.36943970919
0,0,1,2,3,0,3,3902.1848621361632
0,0,1,3,0,0,0,4163.576019546107
0,0,1,3,0,0,1,4068.788484204362
0,0,1,3,0,0,2,4040.23577740067
0,0,1,3,0,0,3,4016.8334192622065
0,0,1,3,1,0,0,3991.8708265853456
0,0,1,3,1,0,1,3897.8942430488305
0,0,1,3,1,0,2,3901.4246589961394
0,0,1,3,1,0,3,3903.571513438374
0,0,1,3,2,0,0,3962.6816887797895
0,0,1,3,2,0,1,3901.4210876014263
0,0,1,3,2,0,2,3907.6269619148106
0,0,1,3,2,0,3,3917.076236566445
0,0,1,3,3,0,0,3944.8539608986466
0,0,1,3,3,0,1,3940.482920041117
0,0,1,3,3,0,2,inf
0,0,1,3,3,0,3,3897.06559970527
0,1,1,0,0,0,0,4290.133158510995
0,1,1,0,0,0,1,4182.222083158051
0,1,1,0,0,0,2,4139.882126673712
0,1,1,0,0,0,3,4113.980918696341
0,1,1,0,1,0,0,4085.662920061779
0,1,1,0,1,0,1,3977.339955693965
0,1,1,0,1,0,2,3985.215181050909
0,1,1,0,1,0,3,3987.320273100351
0,1,1,0,2,0,0,4049.845491516167
0,1,1,0,2,0,1,3978.011022305632
0,1,1,0,2,0,2,3994.813323585752
0,1,1,0,2,0,3,3989.880989106623
0,1,1,0,3,0,0,4025.053683730404
0,1,1,0,3,0,1,3987.0645150777636
0,1,1,0,3,0,2,3989.6902132048453
0,1,1,0,3,0,3,3982.0169184262404
0,1,1,1,0,0,0,4173.894357262148
0,1,1,1,0,0,1,4078.3402985340795
0,1,1,1,0,0,2,4038.6369118169628
0,1,1,1,0,0,3,4015.101678445214
0,1,1,1,1,0,0,3989.4727531879
0,1,1,1,1,0,1,3896.775990738606
0,1,1,1,1,0,2,3900.0707822098466
0,1,1,1,1,0,3,3902.3419975431725
0,1,1,1,2,0,0,3959.391322909127
0,1,1,1,2,0,1,3897.170322936883
0,1,1,1,2,0,2,3907.9235257402443
0,1,1,1,2,0,3,3904.8469309958487
0,1,1,1,3,0,0,3940.830591118869
0,1,1,1,3,0,1,3962.2122391691864
0,1,1,1,3,0,2,3904.4794274015703
0,1,1,1,3,0,3,3902.671131118217
0,1,1,2,0,0,0,4163.9284044261185
0,1,1,2,0,0,1,4068.7946575426995
0,1,1,2,0,0,2,4040.2565551008765
0,1,1,2,0,0,3,4016.7464681208353
0,1,1,2,1,0,0,3990.967047713235
