cod_pais,nom_pais,mes,año,tabaco_claro,tabaco_oscuro
32,Argentina,Enero,1997,94.08,5.92
32,Argentina,Febrero,1997,94.09,5.91
32,Argentina,Marzo,1997,93.63,6.37
32,Argentina,Abril,1997,93.89,6.11
32,Argentina,Mayo,1997,94.32,5.68
32,Argentina,Junio,1997,94.05,5.95
32,Argentina,Julio,1997,94.25,5.75
32,Argentina,Agosto,1997,94.29,5.71
32,Argentina,Septiembre,1997,94.19,5.81
32,Argentina,Octubre,1997,94.2,5.8
32,Argentina,Noviembre,1997,94.18,5.82
32,Argentina,Diciembre,1997,94.23,5.77
32,Argentina,Enero,1998,94.53,5.47
32,Argentina,Febrero,1998,94.28,5.72
32,Argentina,Marzo,1998,94.17,5.83
32,Argentina,Abril,1998,94.3,5.7
32,Argentina,Mayo,1998,94.38,5.62
32,Argentina,Junio,1998,94.18,5.82
32,Argentina,Julio,1998,94.41,5.59
32,Argentina,Agosto,1998,94.52,5.48
32,Argentina,Septiembre,1998,94.5,5.5
32,Argentina,Octubre,1998,94.51,5.49
32,Argentina,Noviembre,1998,94.53,5.47
32,Argentina,Diciembre,1998,94.66,5.34
32,Argentina,Enero,1999,94.74,5.26
32,Argentina,Febrero,1999,94.73,5.27
32,Argentina,Marzo,1999,94.76,5.24
32,Argentina,Abril,1999,94.93,5.07
32,Argentina,Mayo,1999,94.94,5.06
32,Argentina,Junio,1999,94.98,5.02
32,Argentina,Julio,1999,95.03,4.97
32,Argentina,Agosto,1999,94.99,5.01
32,Argentina,Septiembre,1999,95,5
32,Argentina,Octubre,1999,95.04,4.96
32,Argentina,Noviembre,1999,95.03,4.97
32,Argentina,Diciembre,1999,95.28,4.72
32,Argentina,Enero,2000,94.42,5.58
32,Argentina,Febrero,2000,94.98,5.02
32,Argentina,Marzo,2000,95.17,4.83
32,Argentina,Abril,2000,95.11,4.89
32,Argentina,Mayo,2000,95.05,4.95
32,Argentina,Junio,2000,95.12,4.88
32,Argentina,Julio,2000,95.16,4.84
32,Argentina,Agosto,2000,95.18,4.82
32,Argentina,Septiembre,2000,95.29,4.71
32,Argentina,Octubre,2000,94.96,5.04
32,Argentina,Noviembre,2000,95.56,4.44
32,Argentina,Diciembre,2000,95.34,4.66
32,Argentina,Enero,2001,95.23,4.77
32,Argentina,Febrero,2001,95.16,4.84
32,Argentina,Marzo,2001,95.39,4.61
32,Argentina,Abril,2001,95.45,4.55
32,Argentina,Mayo,2001,95.39,4.61
32,Argentina,Junio,2001,95.42,4.58
32,Argentina,Julio,2001,95.53,4.47
32,Argentina,Agosto,2001,95.79,4.21
32,Argentina,Septiembre,2001,95.67,4.33
32,Argentina,Octubre,2001,95.77,4.23
32,Argentina,Noviembre,2001,95.94,4.06
32,Argentina,Diciembre,2001,95.7,4.3
32,Argentina,Enero,2002,95.9,4.1
32,Argentina,Febrero,2002,95.95,4.05
