indice_tiempo,total,colectivo,lancha,subte,tren
1/1/2020,966457,907421,40,72180,112267
1/2/2020,3879833,3564004,94,511136,719721
1/3/2020,4213711,3886005,106,536129,779512
1/4/2020,2899714,2728108,129,232491,461000
1/5/2020,1785016,1687791,94,127770,203694
1/6/2020,4160267,3817677,111,543433,772203
1/7/2020,4195485,3855716,61,553337,774509
1/8/2020,4113127,3775151,80,546992,776612
1/9/2020,4114983,3777667,93,551974,771768
1/10/2020,4261741,3930629,122,551782,802904
1/11/2020,2872425,2709650,100,233528,442738
1/12/2020,1770824,1673993,86,128084,212369
1/13/2020,4110363,3776600,103,537425,767740
1/14/2020,3850434,3533051,82,519193,711038
1/15/2020,3845908,3538310,61,517225,662890
1/16/2020,4217823,3873449,91,561236,794638
1/17/2020,4316121,3983349,124,541901,813476
1/18/2020,2924307,2764358,111,197352,477500
1/19/2020,1779502,1692829,101,101496,210334
1/20/2020,3905584,3627245,86,428750,701578
1/21/2020,3878022,3593730,83,433795,700158
1/22/2020,4158654,3860207,88,452305,761511
1/23/2020,4105439,3809202,77,450568,755454
1/24/2020,4135504,3850127,148,440591,760993
1/25/2020,2753728,2611274,103,179852,430063
1/26/2020,1756922,1672106,87,103512,204393
1/27/2020,4082282,3780704,130,442972,760135
1/28/2020,4107574,3804753,75,454479,757307
1/29/2020,4010658,3713725,70,450519,736072
1/30/2020,4172817,3864487,80,465182,771686
1/31/2020,4260828,3957585,116,459544,794295
2/1/2020,2884952,2730780,132,196308,448703
2/2/2020,1769901,1689187,101,103537,189004
2/3/2020,4087548,3755922,125,531629,770349
2/4/2020,4150339,3818458,91,541188,764181
2/5/2020,4204514,3872049,70,551184,773229
2/6/2020,4203953,3873499,84,551675,772649
2/7/2020,4140416,3822596,110,541845,759924
2/8/2020,3016860,2843323,90,248893,470387
2/9/2020,1878720,1774715,84,139777,223128
2/10/2020,4433573,4079339,108,572371,831453
2/11/2020,4266502,3854815,66,613573,833467
2/12/2020,4565999,4205077,90,607412,847829
2/13/2020,4564081,4206786,84,594862,839014
2/14/2020,4658297,4313336,129,587572,852221
2/15/2020,3001841,2822939,112,249134,489200
2/16/2020,1761686,1665058,87,129724,207789
2/17/2020,4264948,3925731,86,562555,764982
2/18/2020,4628208,4275921,92,590904,834700
2/19/2020,4719946,4350865,95,615562,860390
2/20/2020,4673857,4311123,78,602950,842070
2/21/2020,4743639,4383472,139,597057,868976
2/22/2020,3046780,2867067,130,244534,484308
2/23/2020,1898293,1793812,116,140582,220437
2/24/2020,2015214,1893829,76,160708,282205
2/25/2020,1982041,1866212,88,146881,267647
2/26/2020,4763511,4391384,105,603603,863093
2/27/2020,4741243,4364882,84,618367,858937
2/28/2020,4862105,4493789,117,625069,881260
2/29/2020,3176953,2987396,119,267587,494327
3/1/2020,1868686,1767301,97,138446,204026
3/2/2020,4907937,4542037,82,600301,829064
3/3/2020,4996561,4625618,95,620704,835216
3/4/2020,5063067,4685470,93,631391,854925
3/5/2020,5173759,4793168,81,648779,875572
3/6/2020,5284640,4918258,127,642675,887581
3/7/2020,3315847,3117137,145,286495,531479
3/8/2020,1898173,1826835,103,146363,38214
3/9/2020,5153881,4743019,99,706371,901771
3/10/2020,5408124,5015077,0,668245,880883
3/11/2020,4641071,4310748,0,597087,718738
3/12/2020,5511223,5135481,10,641434,867412
