indice_tiempo,turismo_receptivo,turismo_emisivo,saldo
1/1/2010,254.157,162.68,91.477
2/1/2010,186.441,186.227,0.214
3/1/2010,203.821,167.262,36.559
4/1/2010,207.516,141.75,65.766
5/1/2010,191.665,154.43,37.235
6/1/2010,199.736,137.327,62.409
7/1/2010,236.571,152.299,84.272
8/1/2010,233.027,164.558,68.469
9/1/2010,226.245,158.674,67.571
10/1/2010,225.967,188.198,37.769
11/1/2010,239.711,152.463,87.248
12/1/2010,243.012,134.965,108.047
1/1/2011,289.635,196.652,92.983
2/1/2011,203.766,235.252,-31.486
3/1/2011,237.501,193.656,43.845
4/1/2011,234.815,160.422,74.393
5/1/2011,206.413,169.524,36.889
6/1/2011,161.923,144.157,17.766
7/1/2011,232.926,165.239,67.687
8/1/2011,211.817,176.613,35.204
9/1/2011,220.302,184.915,35.387
10/1/2011,216.055,202.002,14.053
11/1/2011,237.843,171.584,66.259
12/1/2011,239.136,156.61,82.526
1/1/2012,270.991,219.412,51.579
2/1/2012,208.946,267.861,-58.915
3/1/2012,234.33,219.132,15.198
4/1/2012,221.652,210.415,11.237
5/1/2012,196.681,200.384,-3.703
6/1/2012,189.375,184.127,5.248
7/1/2012,215.511,198.687,16.824
8/1/2012,200.904,185.568,15.336
9/1/2012,190.988,200.721,-9.733
10/1/2012,192.459,214.114,-21.655
11/1/2012,211.833,174.102,37.731
12/1/2012,224.109,157.381,66.728
1/1/2013,246.539,231.089,15.45
2/1/2013,177.734,266.272,-88.538
3/1/2013,198.89,236.691,-37.801
4/1/2013,181.177,242.495,-61.318
5/1/2013,172.568,187.238,-14.67
6/1/2013,175.262,198.768,-23.506
7/1/2013,196.846,218.437,-21.591
8/1/2013,194.992,199.331,-4.339
9/1/2013,193.492,211.75,-18.258
10/1/2013,192.432,226.887,-34.455
11/1/2013,221.203,190.004,31.199
12/1/2013,234.036,172.575,61.461
1/1/2014,241.973,228,13.973
2/1/2014,173.496,264,-90.504
3/1/2014,206.4,222.9,-16.5
4/1/2014,194.3,181.8,12.5
5/1/2014,185.5,208.7,-23.2
6/1/2014,170.2,190.1,-19.9
7/1/2014,200.9,205.2,-4.3
8/1/2014,221.1,213.3,7.8
9/1/2014,198.3,199.2,-0.9
10/1/2014,213.5,208.5,5
11/1/2014,226.3,180.8,45.5
12/1/2014,234.7,164.3,70.4
1/1/2015,255,216.2,38.8
2/1/2015,190.3,251.4,-61.1
3/1/2015,195.3,245.8,-50.5
4/1/2015,188.6,221.4,-32.8
5/1/2015,171.7,232.3,-60.6
6/1/2015,167.9,224.2,-56.3
7/1/2015,193.5,234.1,-40.6
8/1/2015,185.8,267.7,-81.9
9/1/2015,175.1,251.7,-76.6
10/1/2015,175.1,275.9,-100.8
11/1/2015,195.1,247.7,-52.6
12/1/2015,211.3,220.6,-9.3
1/1/2016,228.2,289.7,-61.5
2/1/2016,178.1,317.5,-139.4
3/1/2016,184.4,301.9,-117.5
4/1/2016,177.1,257.4,-80.3
5/1/2016,164.1,264.2,-100.1
6/1/2016,155.6,270.3,-114.7
7/1/2016,188.4,284,-95.6
8/1/2016,189.2,283,-93.8
9/1/2016,176.1,271.5,-95.4
10/1/2016,187.7,311,-123.3
11/1/2016,212.6,254.3,-41.7
12/1/2016,222.4,235.7,-13.3
1/1/2017,232.3,325.9,-93.6
2/1/2017,174.3,353.6,-179.3
3/1/2017,198.6,342.9,-144.3
4/1/2017,184.3,297.7,-113.4
5/1/2017,169,304.9,-135.9
6/1/2017,163.2,284,-120.8
7/1/2017,199.6,325.6,-126
8/1/2017,193.7,319.4,-125.7
9/1/2017,184.8,307,-122.2
10/1/2017,200.8,330.3,-129.5
11/1/2017,223.8,281.4,-57.6
12/1/2017,237.1,257,-19.9
1/1/2018,247.1,377,-129.9
2/1/2018,177.8,390.8,-213
3/1/2018,197.1,369.6,-172.5
4/1/2018,196,329.1,-133.1
5/1/2018,170.7,309.2,-138.5
6/1/2018,156.8,267.5,-110.7
7/1/2018,201.5,296.8,-95.3
8/1/2018,200.7,277,-76.3
9/1/2018,201,267.8,-66.8
10/1/2018,211.8,271.5,-59.7
11/1/2018,245.8,224.2,21.6
12/1/2018,263,219.5,43.5
1/1/2019,303,289,14
2/1/2019,203.4,325.4,-122
3/1/2019,237.1,309.1,-72
4/1/2019,218.4,261.3,-42.9
5/1/2019,205.8,273.3,-67.5
6/1/2019,194.2,264.2,-70
7/1/2019,224.6,256.5,-31.9
8/1/2019,209.8,297,-87.2
9/1/2019,205.8,271.3,-65.5
10/1/2019,206.1,268.8,-62.7
11/1/2019,236.2,221.1,15.1
12/1/2019,273.5,195.8,77.7
