indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupo_articulos,subtotal_ventas_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,alimentos_preparados_rotiseria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2017-01-01,27858.872082890004,27477.307666370554,27858872.08289,27591730.12689,267141.956,27858872.08289,10230100.130314,6864575.384024798,9047205.493406398,1716991.0731449006,27858872.08289,18043789.159749996,3514467.397929999,6705475.317769996,945906.3068000003,2880656.1690700003,2606192.9418299994,1050313.6382000004,340777.38815,4397543.670590001,772371.8476499999,1838507.0955300005,2806660.3093699994
2017-02-01,25994.200168069103,25223.428860347456,25994200.16707,25749179.39807,245020.769,25994200.16707,9719067.340596005,6438494.010723001,8309150.301222395,1527488.5175299996,25994200.16707,17656879.077489097,3344456.9307400007,6576624.802559997,925618.6147200002,2855639.8995800014,2600083.5910390993,1026166.5437700001,328288.69508000003,4053283.7708199997,672290.51653,1257661.9026000001,2354084.9006299996
2017-03-01,27780.00652224732,26334.26363967878,27780006.52225002,27472228.718250018,307777.804,27780006.52225002,10244442.508284997,6908522.962076997,8845010.493617997,1782030.55727,27780006.52225002,19186248.052730296,3290739.3236800013,7437264.173599998,1016147.66424,3188259.169089998,2824976.7257703007,1075525.8415899999,353335.15475999995,4354197.610579998,667696.6653099998,1305674.9167699998,2266189.276857
2017-04-01,29134.272220610008,27045.88446262117,29134272.21961001,28827479.48661001,306792.733,29134272.21961001,10312632.366428997,7454251.799721999,9458166.681812003,1909221.3736467,29134272.21961001,20257135.097190004,3253288.2368399994,8211244.0929700015,1132396.2324400002,3257140.159270001,3006158.7602199987,1037213.1617099998,359694.4537399999,4355706.64557,838948.2457500004,1535726.3448300003,2146755.8872700003
2017-05-01,27969.00467693989,25631.863991881684,27969004.676939994,27569311.414939996,399693.262,27969004.676939994,10147613.34208,6735747.319130901,9220929.862112993,1864714.1566170002,27969004.676939994,18904574.403351594,2869437.410668201,7651058.083627703,1033081.8497094,3232635.767159099,2799142.1231426005,982651.1605545904,336568.00849,4206101.6051087,915895.1498100001,1824462.0360000003,2117971.4826695994
2017-06-01,29132.712745602,26365.38706384802,29132712.7446,28763865.4186,368847.326,29132712.7446,10565493.495652994,7337456.597347399,9196110.462846007,2033652.1887504,29132712.7446,19601615.797831997,3103589.59878,7911936.2447799975,1083494.19323,3322049.5637600007,2883228.7623519986,952203.315,345114.11993,4277889.538620001,1001572.00219,1893542.0621800004,2358093.344780001
2017-07-01,31182.302455592708,27819.352944627655,31182302.456590004,30815311.773590006,366990.683,31182302.456590004,10905912.736712996,8183012.3184557,10162899.880877996,1930477.5205436,31182302.456590004,20882660.949871507,3325398.6558070006,8482567.662070002,1153102.2144580004,3534096.704471001,3013143.9676210005,994343.577518,380008.1679265002,4599798.333679999,1026743.4961478001,1995091.1435834006,2678008.532310001
2017-08-01,31154.880941736905,27394.073951805774,31154880.943740003,30763355.89174,391525.052,31154880.943740003,11041625.274251003,7899351.016894999,10115176.88118,2098727.7714126995,31154880.943740003,20666687.8184007,3261204.2832790003,8275620.1797,1147970.0728,3604272.1064110007,2946950.8218284003,1060479.1620740003,370191.1923082999,4585003.763950002,786415.4840322,1882133.8040039998,3234640.071349999
2017-09-01,30521.506196270206,26404.252526903005,30521506.195270002,30135595.697270002,385910.498,30521506.195270002,10789170.332050998,7888243.176848,9795878.643451,2048214.0439202997,30521506.195270002,21025932.9445389,3488952.968447999,8319868.332199999,1144159.4605890005,3640337.0378699987,2991425.0249088006,1078616.457257,362573.66326610005,4708171.561280001,740572.7169650001,1673423.5498463002,2373405.423640001
2017-10-01,32445.98301393,27766.66317796161,32445983.013929997,31980223.912639998,465759.10129,32445983.013929997,11220307.426600007,8695476.803280002,11447457.179397,1082741.60465,32445983.013929997,21743902.234570004,3928861.097549999,8323912.543310004,1171282.6349200003,3698962.6299599996,3091846.9128900003,1147860.2917999998,381176.12414,4889144.438340002,870481.0824900001,2404158.326889999,2538296.9316399996
2017-11-01,33628.98265709631,28425.301720641164,33628982.657100014,33122387.951610014,506594.70549,33628982.657100014,11657995.803109996,8324348.80678286,12553464.114272805,1093173.9329353003,33628982.657100014,21967173.3998963,4297207.188262001,8282231.901500002,1138077.3718600003,3641546.556899999,3032406.663384301,1206025.3777199993,369678.34027000004,4988358.59175,864815.70133,2729390.0808199993,3079244.8832999985
2017-12-01,40766.3221043007,34084.519433704845,40766322.1043,40320285.2796,446036.8247,40766322.1043,13710305.37311,11070098.736242607,14576008.2373072,1409909.7576381993,40766322.1043,26888567.25589069,6640857.415859998,9667850.147479994,1346130.8131799998,3684165.031499998,3674954.0998407,1398334.6893299995,476275.0587,5239243.108389994,1278355.0180100007,2857322.67385,4502834.048160002
2018-01-01,32479.208005573993,26736.7465460697,32479208.00556999,32103107.855989993,376100.1495799999,32479208.00556999,11705433.565544002,8391851.735510603,11256746.646177003,1125176.0583415003,32479208.00556999,21415403.097653996,4222218.45492,7836896.413669995,1122224.4299800007,3431469.945989999,3091349.8772139987,1318384.493770001,392859.48210999987,4989430.335300002,931581.0564099996,1999948.5658400003,3142844.9503700007
2018-02-01,31736.82455214001,25650.688732106395,31736824.55214,31357444.8335,379379.71864,31736824.55214,10720300.947148008,8607859.2800684,11364650.340209996,1044013.9847172999,31736824.55214,21328882.901370004,4356546.19885,7699395.38065,1101686.47128,3398477.2202799995,3136911.742340002,1248469.2865899992,387396.60138,4725277.13508,905082.7940100001,1781739.8561900007,2995841.86549
2018-03-01,36531.291328669984,28846.727300021103,36531291.32867001,36055413.05464001,475878.27403,36531291.32867001,12955730.464524,9144000.036735995,13175374.632970996,1256186.1944464003,36531291.32867001,25205918.02852,4597365.962020001,9795952.073230002,1412393.8548500005,3996896.4526100005,3635088.654179999,1329929.28416,438291.74746999994,5341668.284599996,964070.6809999999,2049351.7863,2970282.5482499977
2018-04-01,34113.74566680001,26429.52752809941,34113745.66680001,33622270.978180006,491474.68862000003,34113745.66680001,11685359.587512009,8980714.557799002,12193290.57827,1254380.9432200005,34113745.66680001,23327342.936460007,4218613.15712,8945426.330820002,1255968.4269100006,3762309.3645600006,3537305.15074,1205249.4992100003,402471.0071000001,5038590.881000004,953653.6989799999,2169127.42258,2625030.72778
2018-05-01,35133.146391275004,26430.503243249208,35133146.39128,34407391.593590006,725754.7976899999,35133146.39128,11925300.089559997,8668139.0539873,13241497.643993005,1298209.6037401005,35133146.39128,23066625.490795,3737570.4232600005,9171763.802680004,1297093.1459100002,3872325.675319999,3439295.8011600007,1155946.7557050004,392629.88676,4862993.325099997,1148685.7329599997,3356541.3790999996,2698300.4633199996
2018-06-01,38338.20974565648,27465.90980889797,38338209.74565996,37744796.10936996,593413.63629,38338209.74565996,13517215.493030002,9513855.561389996,13623892.631039994,1683246.0602,38338209.74565996,25418022.491686504,4276518.981950001,10197523.387210004,1422314.27823,4138338.4173600017,3786047.2163765,1186724.081549999,410556.1290099997,5109867.417749999,1426312.599570001,3509590.74134,2874416.4953100015
2018-07-01,39278.44996264218,27033.43803708506,39278449.96263997,38696650.90644997,581799.0561899999,39278449.96263997,14061294.336093998,10619025.064987898,13151343.173305005,1446787.3882568001,39278449.96263997,26789219.719002187,4329776.745530002,10941910.277759986,1535870.4263800005,4337129.47109,3902397.0372171984,1296379.3779809996,445756.3830439999,5496160.817630002,1357253.2361400006,2294925.164369999,3340891.025499998
2018-08-01,39491.90727419412,26267.256514020613,39491907.27419998,38852702.48435998,639204.78984,39491907.27419998,13783068.023829997,10164619.777058007,13997246.389675,1546973.0836399999,39491907.27419998,26996838.62034418,4440944.928766267,10804194.908603406,1505870.5487064328,4432915.801648892,4015209.7738825614,1359742.1032454544,437960.5554911629,5542025.025539442,964553.392391654,2037255.9361909518,3951234.299727919
2018-09-01,39925.54899754218,24310.777978264978,39925548.99754999,39313002.174979985,612546.82257,39925548.99754999,14307986.236589996,10187454.21635,14097447.208820008,1332661.33579,39925548.99754999,28191321.865456004,4915662.833760006,11194772.656070001,1509785.43563,4594864.597840001,4200513.124326,1330111.0335100002,445612.1843200001,6102652.803990001,853166.7950261999,1853671.9831100008,2924735.5499599995
2018-10-01,43420.253822487975,25010.476704449233,43420253.82247999,42646486.70567999,773767.1168,43420253.82247999,15413337.429618,10495359.76456195,16008985.684051717,1502570.944243483,43420253.82247999,30065814.641687997,5367369.5858499985,11730986.055640003,1633042.6958599999,4894616.841739997,4495750.370688001,1478760.3967899997,465288.69511999993,6486922.170950002,1010425.31317,2543612.93655,3313478.7601300026
2018-11-01,44849.44600603298,24891.71263312131,44849446.00603998,44076960.79194998,772485.21409,44849446.00603998,15412653.112490004,11132996.566479996,16773555.452833004,1530240.87424,44849446.00603998,30971868.835443,5999482.304630001,11863636.204099998,1623972.4898400006,4918020.845370001,4504157.019552998,1590214.2764400004,472385.69551000005,6809307.630779995,1023726.6606099998,2437736.316800001,3606806.562399999
2018-12-01,57203.95586361999,31136.131957050453,57203955.86361999,56452356.42238999,751599.44123,57203955.86361999,19372979.314990014,16252211.763499994,19596671.428900015,1982093.35623,57203955.86361999,38897886.82512,9591843.129960004,14277710.694190001,1987411.8307699992,5209569.96788,5446438.436359999,1782265.9589499992,602646.8070099999,7737390.299399996,1732097.9632400007,2850608.6996600004,5985972.076199996
2019-01-01,45433.623712055996,23888.726073338843,45433623.71206,44740575.241629995,693048.47043,45433623.71206,16005633.827199997,11687681.667650005,16222411.460373,1517896.7568399997,45433623.71206,30532173.730396003,5940722.932499999,11509132.27858,1602588.7262000006,4824152.727379998,4540700.406096002,1622205.3741000004,492671.28554,7273538.278630001,1296604.24847,2193855.6931,4137451.76146
2019-02-01,44592.14489534219,22542.04994183623,44592144.895340025,43914187.05556002,677957.8397799999,44592144.895340025,15466783.51002,12330583.273768004,15330194.010651998,1464584.1009,44592144.895340025,30680257.78658,5900970.590900003,11400304.634749994,1585634.2492300002,4837064.586020001,4861296.852190003,1607641.3985299994,487345.4749599999,6902733.48878,1078456.14302,2065592.42674,3865105.0502222204
